crosswalk_id,source_bucket,final_candidate_class,nearest_junction_id,nearest_junction_type,selected_for_generation,selected_for_patch,patch_action,patch_status,crossing_present,walkingarea_present,tlLogic_present,tls_id_used,ped_link_indices,ped_phase_states,ped_has_green,ped_has_red,traci_ok,traci_error,traci_controlled_links_count,traci_ped_link_indices,recovery_outcome,recovered
NODE_6484,MANUAL_REVIEW_TLS_RETRY_BATCH,FINAL_MANUAL_REVIEW,2420018297,priority,True,False,AUDIT_ONLY_MANUAL_REVIEW,nan,True,True,True,2420018297,[16],"[{""linkIndex"": 16, ""phase_states"": [""G"", ""r"", ""r"", ""r"", ""r"", ""r""], ""has_green"": true, ""has_red"": true}]",True,True,True,,20,"[16, 17, 18, 19]",PHASE6_READY_CONFIRMED,True
LINK_141039,MANUAL_REVIEW_TLS_RETRY_BATCH,FINAL_MANUAL_REVIEW,2420018297,priority,True,False,AUDIT_ONLY_MANUAL_REVIEW,nan,True,True,True,2420018297,[16],"[{""linkIndex"": 16, ""phase_states"": [""G"", ""r"", ""r"", ""r"", ""r"", ""r""], ""has_green"": true, ""has_red"": true}]",True,True,True,,20,"[16, 17, 18, 19]",PHASE6_READY_CONFIRMED,True
LINK_70067,MANUAL_REVIEW_TLS_RETRY_BATCH,FINAL_MANUAL_REVIEW,4202586290,priority,True,False,AUDIT_ONLY_MANUAL_REVIEW,nan,True,True,True,4202586290,[16],"[{""linkIndex"": 16, ""phase_states"": [""G"", ""r"", ""r"", ""r"", ""r""], ""has_green"": true, ""has_red"": true}]",True,True,True,,17,[16],PHASE6_READY_CONFIRMED,True
LINK_110210,MANUAL_REVIEW_TLS_RETRY_BATCH,FINAL_MANUAL_REVIEW,4203161541,priority,True,False,AUDIT_ONLY_MANUAL_REVIEW,nan,True,True,True,4203161541,[16],"[{""linkIndex"": 16, ""phase_states"": [""G"", ""r"", ""r"", ""r"", ""r""], ""has_green"": true, ""has_red"": true}]",True,True,True,,17,[16],PHASE6_READY_CONFIRMED,True
LINK_262750,MANUAL_REVIEW_TLS_RETRY_BATCH,FINAL_MANUAL_REVIEW,436827146,priority,True,False,AUDIT_ONLY_MANUAL_REVIEW,nan,True,True,True,436827146,[16],"[{""linkIndex"": 16, ""phase_states"": [""G"", ""r"", ""r"", ""r"", ""r""], ""has_green"": true, ""has_red"": true}]",True,True,True,,17,[16],PHASE6_READY_CONFIRMED,True
NODE_15186,MANUAL_REVIEW_TLS_RETRY_BATCH,FINAL_MANUAL_REVIEW,4593717769,priority,True,False,AUDIT_ONLY_MANUAL_REVIEW,nan,True,True,True,4593717769,[16],"[{""linkIndex"": 16, ""phase_states"": [""G"", ""r"", ""r"", ""r"", ""r""], ""has_green"": true, ""has_red"": true}]",True,True,True,,17,[16],PHASE6_READY_CONFIRMED,True
LINK_84414,MANUAL_REVIEW_TLS_RETRY_BATCH,FINAL_MANUAL_REVIEW,2420018297,priority,True,False,AUDIT_ONLY_MANUAL_REVIEW,nan,True,True,True,2420018297,[18],"[{""linkIndex"": 18, ""phase_states"": [""G"", ""r"", ""r"", ""r"", ""r"", ""r""], ""has_green"": true, ""has_red"": true}]",True,True,True,,20,"[16, 17, 18, 19]",PHASE6_READY_CONFIRMED,True
NODE_6485,MANUAL_REVIEW_TLS_RETRY_BATCH,FINAL_MANUAL_REVIEW,2420018297,priority,True,False,AUDIT_ONLY_MANUAL_REVIEW,nan,True,True,True,2420018297,[18],"[{""linkIndex"": 18, ""phase_states"": [""G"", ""r"", ""r"", ""r"", ""r"", ""r""], ""has_green"": true, ""has_red"": true}]",True,True,True,,20,"[16, 17, 18, 19]",PHASE6_READY_CONFIRMED,True
NODE_8340,MANUAL_REVIEW_TLS_RETRY_BATCH,FINAL_MANUAL_REVIEW,11873609141,priority,True,False,AUDIT_ONLY_MANUAL_REVIEW,nan,True,True,True,11873609141,[16],"[{""linkIndex"": 16, ""phase_states"": [""r"", ""r"", ""r""], ""has_green"": false, ""has_red"": true}]",False,True,True,,18,"[14, 15, 16, 17]",RED_ONLY_PHASE_FIX_NEEDED,False
LINK_214675,MANUAL_REVIEW_TLS_RETRY_BATCH,FINAL_MANUAL_REVIEW,4593717769,priority,True,False,AUDIT_ONLY_MANUAL_REVIEW,nan,True,True,True,4593717769,[16],"[{""linkIndex"": 16, ""phase_states"": [""G"", ""r"", ""r"", ""r"", ""r""], ""has_green"": true, ""has_red"": true}]",True,True,True,,17,[16],PHASE6_READY_CONFIRMED,True
LINK_19804,MANUAL_REVIEW_TLS_RETRY_BATCH,FINAL_MANUAL_REVIEW,3846495845,priority,True,False,AUDIT_ONLY_MANUAL_REVIEW,nan,True,True,True,3846495845,[16],"[{""linkIndex"": 16, ""phase_states"": [""G"", ""r"", ""r"", ""r"", ""r""], ""has_green"": true, ""has_red"": true}]",True,True,True,,17,[16],PHASE6_READY_CONFIRMED,True
LINK_219774,MANUAL_REVIEW_TLS_RETRY_BATCH,FINAL_MANUAL_REVIEW,3846577566,priority,True,False,AUDIT_ONLY_MANUAL_REVIEW,nan,True,True,True,3846577566,[16],"[{""linkIndex"": 16, ""phase_states"": [""G"", ""r"", ""r"", ""r"", ""r""], ""has_green"": true, ""has_red"": true}]",True,True,True,,17,[16],PHASE6_READY_CONFIRMED,True
NODE_6807,MANUAL_REVIEW_TLS_RETRY_BATCH,FINAL_MANUAL_REVIEW,4203161541,priority,True,False,AUDIT_ONLY_MANUAL_REVIEW,nan,True,True,True,4203161541,[16],"[{""linkIndex"": 16, ""phase_states"": [""G"", ""r"", ""r"", ""r"", ""r""], ""has_green"": true, ""has_red"": true}]",True,True,True,,17,[16],PHASE6_READY_CONFIRMED,True
NODE_8231,MANUAL_REVIEW_TLS_RETRY_BATCH,FINAL_MANUAL_REVIEW,4202586290,priority,True,False,AUDIT_ONLY_MANUAL_REVIEW,nan,True,True,True,4202586290,[16],"[{""linkIndex"": 16, ""phase_states"": [""G"", ""r"", ""r"", ""r"", ""r""], ""has_green"": true, ""has_red"": true}]",True,True,True,,17,[16],PHASE6_READY_CONFIRMED,True
LINK_232413,MANUAL_REVIEW_TLS_RETRY_BATCH,FINAL_MANUAL_REVIEW,1326151660,priority,True,False,AUDIT_ONLY_MANUAL_REVIEW,nan,True,True,True,1326151660,[16],"[{""linkIndex"": 16, ""phase_states"": [""G"", ""r"", ""r"", ""r"", ""r""], ""has_green"": true, ""has_red"": true}]",True,True,True,,17,[16],PHASE6_READY_CONFIRMED,True
LINK_156498,MANUAL_REVIEW_TLS_RETRY_BATCH,FINAL_MANUAL_REVIEW,2959037339,priority,True,False,AUDIT_ONLY_MANUAL_REVIEW,nan,True,True,True,2959037339,[18],"[{""linkIndex"": 18, ""phase_states"": [""G"", ""r"", ""r"", ""r"", ""r""], ""has_green"": true, ""has_red"": true}]",True,True,True,,19,[18],PHASE6_READY_CONFIRMED,True
NODE_122031,MANUAL_REVIEW_TLS_RETRY_BATCH,FINAL_MANUAL_REVIEW,4203161541,priority,True,False,AUDIT_ONLY_MANUAL_REVIEW,nan,True,True,True,4203161541,[16],"[{""linkIndex"": 16, ""phase_states"": [""G"", ""r"", ""r"", ""r"", ""r""], ""has_green"": true, ""has_red"": true}]",True,True,True,,17,[16],PHASE6_READY_CONFIRMED,True
NODE_8901,MANUAL_REVIEW_TLS_RETRY_BATCH,FINAL_MANUAL_REVIEW,436827146,priority,True,False,AUDIT_ONLY_MANUAL_REVIEW,nan,True,True,True,436827146,[16],"[{""linkIndex"": 16, ""phase_states"": [""G"", ""r"", ""r"", ""r"", ""r""], ""has_green"": true, ""has_red"": true}]",True,True,True,,17,[16],PHASE6_READY_CONFIRMED,True
LINK_244326,MANUAL_REVIEW_TLS_RETRY_BATCH,FINAL_MANUAL_REVIEW,4202586290,priority,True,False,AUDIT_ONLY_MANUAL_REVIEW,nan,True,True,True,4202586290,[16],"[{""linkIndex"": 16, ""phase_states"": [""G"", ""r"", ""r"", ""r"", ""r""], ""has_green"": true, ""has_red"": true}]",True,True,True,,17,[16],PHASE6_READY_CONFIRMED,True
NODE_9694,MANUAL_REVIEW_TLS_RETRY_BATCH,FINAL_MANUAL_REVIEW,2420018297,priority,True,False,AUDIT_ONLY_MANUAL_REVIEW,nan,True,True,True,2420018297,[19],"[{""linkIndex"": 19, ""phase_states"": [""r"", ""r"", ""r"", ""G"", ""r"", ""r""], ""has_green"": true, ""has_red"": true}]",True,True,True,,20,"[16, 17, 18, 19]",PHASE6_READY_CONFIRMED,True
