crosswalk_id,source_bucket,final_candidate_class,nearest_junction_id,nearest_junction_type,selected_for_generation,selected_for_patch,patch_action,patch_status,crossing_present,walkingarea_present,tlLogic_present,tls_id_used,ped_link_indices,ped_phase_states,ped_has_green,ped_has_red,traci_ok,traci_error,traci_controlled_links_count,traci_ped_link_indices,recovery_outcome,recovered
NODE_164571,MANUAL_REVIEW_TLS_RETRY_BATCH,FINAL_MANUAL_REVIEW,8401224584,priority,True,False,AUDIT_ONLY_MANUAL_REVIEW,nan,True,True,True,8401224584,[2],"[{""linkIndex"": 2, ""phase_states"": [""r"", ""r"", ""r""], ""has_green"": false, ""has_red"": true}]",False,True,True,,3,[2],RED_ONLY_PHASE_FIX_NEEDED,False
LINK_231550,MANUAL_REVIEW_TLS_RETRY_BATCH,FINAL_MANUAL_REVIEW,7335400040,priority,True,False,AUDIT_ONLY_MANUAL_REVIEW,nan,True,True,True,7335400040,[9],"[{""linkIndex"": 9, ""phase_states"": [""G"", ""r"", ""r"", ""r"", ""r""], ""has_green"": true, ""has_red"": true}]",True,True,True,,10,[9],PHASE6_READY_CONFIRMED,True
NODE_6494,MANUAL_REVIEW_TLS_RETRY_BATCH,FINAL_MANUAL_REVIEW,2420018318,priority,True,False,AUDIT_ONLY_MANUAL_REVIEW,nan,True,True,True,2420018318,[10],"[{""linkIndex"": 10, ""phase_states"": [""G"", ""r"", ""r"", ""r"", ""r"", ""r""], ""has_green"": true, ""has_red"": true}]",True,True,True,,11,"[9, 10]",PHASE6_READY_CONFIRMED,True
LINK_258928,MANUAL_REVIEW_TLS_RETRY_BATCH,FINAL_MANUAL_REVIEW,8111813376,priority,True,False,AUDIT_ONLY_MANUAL_REVIEW,nan,True,True,True,8111813376,[2],"[{""linkIndex"": 2, ""phase_states"": [""r"", ""r"", ""r""], ""has_green"": false, ""has_red"": true}]",False,True,True,,3,[2],RED_ONLY_PHASE_FIX_NEEDED,False
LINK_19202,MANUAL_REVIEW_TLS_RETRY_BATCH,FINAL_MANUAL_REVIEW,8111813378,priority,True,False,AUDIT_ONLY_MANUAL_REVIEW,nan,True,True,True,8111813378,[2],"[{""linkIndex"": 2, ""phase_states"": [""r"", ""r"", ""r""], ""has_green"": false, ""has_red"": true}]",False,True,True,,3,[2],RED_ONLY_PHASE_FIX_NEEDED,False
LINK_256461,MANUAL_REVIEW_TLS_RETRY_BATCH,FINAL_MANUAL_REVIEW,436835632,priority,True,False,AUDIT_ONLY_MANUAL_REVIEW,nan,True,True,True,436835632,[10],"[{""linkIndex"": 10, ""phase_states"": [""r"", ""r"", ""r"", ""G"", ""r"", ""r""], ""has_green"": true, ""has_red"": true}]",True,True,True,,12,"[9, 10, 11]",PHASE6_READY_CONFIRMED,True
LINK_144405,MANUAL_REVIEW_TLS_RETRY_BATCH,FINAL_MANUAL_REVIEW,2420018318,priority,True,False,AUDIT_ONLY_MANUAL_REVIEW,nan,True,True,True,2420018318,[9],"[{""linkIndex"": 9, ""phase_states"": [""r"", ""r"", ""r"", ""G"", ""r"", ""r""], ""has_green"": true, ""has_red"": true}]",True,True,True,,11,"[9, 10]",PHASE6_READY_CONFIRMED,True
LINK_53935,MANUAL_REVIEW_TLS_RETRY_BATCH,FINAL_MANUAL_REVIEW,2515596093,priority,True,False,AUDIT_ONLY_MANUAL_REVIEW,nan,True,True,True,2515596093,[9],"[{""linkIndex"": 9, ""phase_states"": [""r"", ""r"", ""r"", ""r"", ""r"", ""r"", ""r""], ""has_green"": false, ""has_red"": true}]",False,True,True,,10,[9],RED_ONLY_PHASE_FIX_NEEDED,False
NODE_7649,MANUAL_REVIEW_TLS_RETRY_BATCH,FINAL_MANUAL_REVIEW,2135148748,priority,True,False,AUDIT_ONLY_MANUAL_REVIEW,nan,True,True,True,2135148748,[],[],False,False,True,,11,[10],TLS_CREATION_CANDIDATE_REMAINING,False
NODE_9666,MANUAL_REVIEW_TLS_RETRY_BATCH,FINAL_MANUAL_REVIEW,5157009757,priority,True,False,AUDIT_ONLY_MANUAL_REVIEW,nan,True,True,True,5157009757,[9],"[{""linkIndex"": 9, ""phase_states"": [""G"", ""r"", ""r"", ""r"", ""r""], ""has_green"": true, ""has_red"": true}]",True,True,True,,10,[9],PHASE6_READY_CONFIRMED,True
