sim_time,crosswalk_id,tls_id,ped_link_index,phase_index,phase_state,ped_link_state,ped_has_green,ped_has_red,pedestrian_only_phase,non_ped_green_count
5.5,NODE_74388,436883130,16,0,GGrrrrrrgGrrrrrrG,G,True,False,False,4
5.5,NODE_10273,3846533030,12,0,rrrgGGgGGrrGr,r,False,True,False,7
6.0,LINK_212169,11449716078,5,0,gGrrrGr,G,True,False,False,2
6.0,NODE_8452,3846603653,2,0,GGr,r,False,True,False,2
6.0,NODE_6082,11449716078,5,0,gGrrrGr,G,True,False,False,2
6.0,NODE_6123,7300992884,5,0,GgGrrrr,r,False,True,False,3
6.0,NODE_8426,3849142980,16,0,gggGrrrrrrrrrrrrrGGG,r,False,True,False,7
6.0,NODE_74388,436883130,16,0,GGrrrrrrgGrrrrrrG,G,True,False,False,4
6.0,NODE_10273,3846533030,12,0,rrrgGGgGGrrGr,r,False,True,False,7
6.5,LINK_212169,11449716078,5,0,gGrrrGr,G,True,False,False,2
6.5,NODE_8452,3846603653,2,0,GGr,r,False,True,False,2
6.5,NODE_6082,11449716078,5,0,gGrrrGr,G,True,False,False,2
6.5,NODE_6123,7300992884,5,0,GgGrrrr,r,False,True,False,3
6.5,NODE_8426,3849142980,16,0,gggGrrrrrrrrrrrrrGGG,r,False,True,False,7
6.5,NODE_74388,436883130,16,0,GGrrrrrrgGrrrrrrG,G,True,False,False,4
6.5,NODE_10273,3846533030,12,0,rrrgGGgGGrrGr,r,False,True,False,7
7.0,LINK_212169,11449716078,5,0,gGrrrGr,G,True,False,False,2
7.0,NODE_8452,3846603653,2,0,GGr,r,False,True,False,2
7.0,NODE_6082,11449716078,5,0,gGrrrGr,G,True,False,False,2
7.0,NODE_6123,7300992884,5,0,GgGrrrr,r,False,True,False,3
7.0,NODE_8426,3849142980,16,0,gggGrrrrrrrrrrrrrGGG,r,False,True,False,7
7.0,NODE_74388,436883130,16,0,GGrrrrrrgGrrrrrrG,G,True,False,False,4
7.0,NODE_10273,3846533030,12,0,rrrgGGgGGrrGr,r,False,True,False,7
7.5,LINK_212169,11449716078,5,0,gGrrrGr,G,True,False,False,2
7.5,NODE_8452,3846603653,2,0,GGr,r,False,True,False,2
7.5,NODE_6082,11449716078,5,0,gGrrrGr,G,True,False,False,2
7.5,NODE_6123,7300992884,5,0,GgGrrrr,r,False,True,False,3
7.5,NODE_8426,3849142980,16,0,gggGrrrrrrrrrrrrrGGG,r,False,True,False,7
7.5,NODE_74388,436883130,16,0,GGrrrrrrgGrrrrrrG,G,True,False,False,4
7.5,NODE_10273,3846533030,12,0,rrrgGGgGGrrGr,r,False,True,False,7
8.0,LINK_212169,11449716078,5,0,gGrrrGr,G,True,False,False,2
8.0,NODE_8452,3846603653,2,0,GGr,r,False,True,False,2
8.0,NODE_6082,11449716078,5,0,gGrrrGr,G,True,False,False,2
8.0,NODE_6123,7300992884,5,0,GgGrrrr,r,False,True,False,3
8.0,NODE_8426,3849142980,16,0,gggGrrrrrrrrrrrrrGGG,r,False,True,False,7
8.0,NODE_74388,436883130,16,0,GGrrrrrrgGrrrrrrG,G,True,False,False,4
8.0,NODE_10273,3846533030,12,0,rrrgGGgGGrrGr,r,False,True,False,7
8.5,LINK_212169,11449716078,5,0,gGrrrGr,G,True,False,False,2
8.5,NODE_8452,3846603653,2,0,GGr,r,False,True,False,2
8.5,NODE_6082,11449716078,5,0,gGrrrGr,G,True,False,False,2
8.5,NODE_6123,7300992884,5,0,GgGrrrr,r,False,True,False,3
8.5,NODE_8426,3849142980,16,0,gggGrrrrrrrrrrrrrGGG,r,False,True,False,7
8.5,NODE_74388,436883130,16,0,GGrrrrrrgGrrrrrrG,G,True,False,False,4
8.5,NODE_10273,3846533030,12,0,rrrgGGgGGrrGr,r,False,True,False,7
9.0,LINK_212169,11449716078,5,0,gGrrrGr,G,True,False,False,2
9.0,NODE_8452,3846603653,2,0,GGr,r,False,True,False,2
9.0,NODE_6082,11449716078,5,0,gGrrrGr,G,True,False,False,2
9.0,NODE_6123,7300992884,5,0,GgGrrrr,r,False,True,False,3
9.0,NODE_8426,3849142980,16,0,gggGrrrrrrrrrrrrrGGG,r,False,True,False,7
9.0,NODE_74388,436883130,16,0,GGrrrrrrgGrrrrrrG,G,True,False,False,4
9.0,NODE_10273,3846533030,12,0,rrrgGGgGGrrGr,r,False,True,False,7
9.5,LINK_212169,11449716078,5,0,gGrrrGr,G,True,False,False,2
9.5,NODE_8452,3846603653,2,0,GGr,r,False,True,False,2
9.5,NODE_6082,11449716078,5,0,gGrrrGr,G,True,False,False,2
9.5,NODE_6123,7300992884,5,0,GgGrrrr,r,False,True,False,3
9.5,NODE_8426,3849142980,16,0,gggGrrrrrrrrrrrrrGGG,r,False,True,False,7
9.5,NODE_74388,436883130,16,0,GGrrrrrrgGrrrrrrG,G,True,False,False,4
9.5,NODE_10273,3846533030,12,0,rrrgGGgGGrrGr,r,False,True,False,7
10.0,LINK_212169,11449716078,5,0,gGrrrGr,G,True,False,False,2
10.0,NODE_8452,3846603653,2,0,GGr,r,False,True,False,2
10.0,NODE_6082,11449716078,5,0,gGrrrGr,G,True,False,False,2
10.0,NODE_6123,7300992884,5,0,GgGrrrr,r,False,True,False,3
10.0,NODE_8426,3849142980,16,0,gggGrrrrrrrrrrrrrGGG,r,False,True,False,7
10.0,NODE_74388,436883130,16,0,GGrrrrrrgGrrrrrrG,G,True,False,False,4
10.0,NODE_10273,3846533030,12,0,rrrgGGgGGrrGr,r,False,True,False,7
10.5,LINK_212169,11449716078,5,0,gGrrrGr,G,True,False,False,2
10.5,NODE_8452,3846603653,2,0,GGr,r,False,True,False,2
10.5,NODE_6082,11449716078,5,0,gGrrrGr,G,True,False,False,2
10.5,NODE_6123,7300992884,5,0,GgGrrrr,r,False,True,False,3
10.5,NODE_8426,3849142980,16,0,gggGrrrrrrrrrrrrrGGG,r,False,True,False,7
10.5,NODE_74388,436883130,16,0,GGrrrrrrgGrrrrrrG,G,True,False,False,4
10.5,NODE_10273,3846533030,12,0,rrrgGGgGGrrGr,r,False,True,False,7
11.0,LINK_212169,11449716078,5,0,gGrrrGr,G,True,False,False,2
11.0,NODE_8452,3846603653,2,0,GGr,r,False,True,False,2
11.0,NODE_6082,11449716078,5,0,gGrrrGr,G,True,False,False,2
11.0,NODE_6123,7300992884,5,0,GgGrrrr,r,False,True,False,3
11.0,NODE_8426,3849142980,16,0,gggGrrrrrrrrrrrrrGGG,r,False,True,False,7
11.0,NODE_74388,436883130,16,0,GGrrrrrrgGrrrrrrG,G,True,False,False,4
11.0,NODE_10273,3846533030,12,0,rrrgGGgGGrrGr,r,False,True,False,7
11.5,LINK_212169,11449716078,5,0,gGrrrGr,G,True,False,False,2
11.5,NODE_8452,3846603653,2,0,GGr,r,False,True,False,2
11.5,NODE_6082,11449716078,5,0,gGrrrGr,G,True,False,False,2
11.5,NODE_6123,7300992884,5,0,GgGrrrr,r,False,True,False,3
11.5,NODE_8426,3849142980,16,0,gggGrrrrrrrrrrrrrGGG,r,False,True,False,7
11.5,NODE_74388,436883130,16,0,GGrrrrrrgGrrrrrrG,G,True,False,False,4
11.5,NODE_10273,3846533030,12,0,rrrgGGgGGrrGr,r,False,True,False,7
12.0,LINK_212169,11449716078,5,0,gGrrrGr,G,True,False,False,2
12.0,NODE_8452,3846603653,2,0,GGr,r,False,True,False,2
12.0,NODE_6082,11449716078,5,0,gGrrrGr,G,True,False,False,2
12.0,NODE_6123,7300992884,5,0,GgGrrrr,r,False,True,False,3
12.0,NODE_8426,3849142980,16,0,gggGrrrrrrrrrrrrrGGG,r,False,True,False,7
12.0,NODE_74388,436883130,16,0,GGrrrrrrgGrrrrrrG,G,True,False,False,4
12.0,NODE_10273,3846533030,12,0,rrrgGGgGGrrGr,r,False,True,False,7
12.5,LINK_212169,11449716078,5,0,gGrrrGr,G,True,False,False,2
12.5,NODE_8452,3846603653,2,0,GGr,r,False,True,False,2
12.5,NODE_6082,11449716078,5,0,gGrrrGr,G,True,False,False,2
