time,crosswalk_id,tls_id,linkIndex,phase,state,remaining_before,extension_sec,ped_near,error
43.5,NODE_8426,3849142980,16,6,rrrrrrrrrrrrrrrrGrrr,0.5,5.0,2,
82.5,NODE_8452,3846603653,2,2,rrG,7.5,5.0,1,
82.5,NODE_6123,7300992884,5,4,rrrrrGr,7.5,5.0,1,
90.5,LINK_212169,11449716078,5,6,rrrrrGr,5.5,5.0,2,
90.5,NODE_6082,11449716078,5,6,rrrrrGr,10.5,5.0,2,
90.5,NODE_74388,436883130,16,7,rrrrrrrrrrrrrrrrG,5.5,5.0,2,
90.5,NODE_10273,3846533030,12,8,rrrrrrrrrrrrG,5.5,5.0,1,
