time,crosswalk_id,tls_id,linkIndex,phase,state,remaining_before,extension_sec,ped_near,error
86.0,LINK_249048,5161705573,2,2,rrG,12.0,5.0,4,
86.0,LINK_10218,11139418715,2,2,rrG,12.0,5.0,6,
86.0,NODE_9634,10974501473,4,2,rrrrG,12.0,5.0,2,
86.0,LINK_194891,11203052965,11,2,rrrrrrrrrrrG,12.0,5.0,2,
86.0,NODE_5681,11139418723,2,2,rrG,12.0,5.0,2,
86.0,NODE_10262,11203041635,4,2,rrrrG,12.0,5.0,2,
91.0,NODE_5837,5161705573,2,2,rrG,12.0,5.0,8,
91.0,LINK_140740,11139418715,2,2,rrG,12.0,5.0,12,
96.0,NODE_10378,11139418715,2,2,rrG,12.0,5.0,10,
