crosswalk_id,lon,lat,dong_name,admin_dong,lanes,road_rank,max_spd,elderly_ratio,accident_count,crosswalk_length,has_signal,accident_count_50m,accident_count_100m,accident_count_200m,night_accident_ratio,link_count,is_oneway,time_gap_basic,risk_score,is_alive_in_sumo_network,sumo_crosswalk_alive_status,sumo_alive_source,phase6_ready_confirmed
NODE_10333,126.97693958921292,37.55766756201086,남창동,회현동,3.0,104.0,50.0,0.2946596858638743,0,31.314,1,0,0,0,0.0,2.0,0.0,7.828499999999998,0.5227383232960472,,NOT_PROCESSED_OR_UNKNOWN,,False
NODE_6122,126.97831673160552,37.55882879568618,남창동,회현동,3.0,104.0,50.0,0.2946596858638743,0,31.314,1,0,0,0,0.0,2.0,0.0,7.828499999999998,0.5227383232960472,,NOT_PROCESSED_OR_UNKNOWN,,False
NODE_6123,126.97854962827915,37.55867779506991,남창동,회현동,3.0,104.0,50.0,0.2946596858638743,0,31.314,1,0,0,0,0.0,2.0,0.0,7.828499999999998,0.5227383232960472,,NOT_PROCESSED_OR_UNKNOWN,,False
NODE_14937,126.96918741878171,37.5556052746049,봉래동2가,회현동,3.0,104.0,50.0,0.2946596858638743,0,31.314,1,1,5,26,0.4,2.0,0.0,7.828499999999998,0.5227383232960472,False,GEOMETRY_REJECT,geometry_reject_or_manual_hold.csv,False
NODE_10378,126.96922352456824,37.55529303548919,봉래동2가,회현동,3.0,104.0,50.0,0.2946596858638743,0,31.314,1,2,6,34,0.3333333333333333,2.0,0.0,7.828499999999998,0.5227383232960472,,NOT_PROCESSED_OR_UNKNOWN,,False
NODE_10377,126.9692179908348,37.55521734894932,봉래동2가,회현동,3.0,104.0,50.0,0.2946596858638743,0,31.314,1,2,6,34,0.3333333333333333,2.0,0.0,7.828499999999998,0.5227383232960472,,NOT_PROCESSED_OR_UNKNOWN,,False
NODE_6153,126.97689980757774,37.55779411011401,남창동,회현동,3.0,104.0,50.0,0.2946596858638743,0,31.314,1,0,0,0,0.0,2.0,0.0,7.828499999999998,0.5227383232960472,,NOT_PROCESSED_OR_UNKNOWN,,False
NODE_121262,126.98091504312546,37.55494674731226,회현동1가,회현동,3.0,104.0,50.0,0.2946596858638743,0,31.314,1,0,0,0,0.0,4.0,1.0,7.828499999999998,0.5227383232960472,,NOT_PROCESSED_OR_UNKNOWN,,False
NODE_6199,126.97716940726202,37.55512001106236,남대문로5가,회현동,3.0,104.0,50.0,0.2946596858638743,0,31.314,1,1,3,7,0.6666666666666666,4.0,1.0,7.828499999999998,0.5227383232960472,,NOT_PROCESSED_OR_UNKNOWN,,False
NODE_6082,126.976974622838,37.55755611728457,남창동,회현동,3.0,104.0,50.0,0.2946596858638743,0,31.314,1,0,0,0,0.0,2.0,0.0,7.828499999999998,0.5227383232960472,,MANUAL_REVIEW,geometry_reject_or_manual_hold.csv|phase6_ready_candidates_total_FINAL_237_integrity_check.csv,False
