crosswalk_id,lon,lat,dong_name,admin_dong,lanes,road_rank,max_spd,elderly_ratio,accident_count,crosswalk_length,has_signal,accident_count_50m,accident_count_100m,accident_count_200m,night_accident_ratio,link_count,is_oneway,time_gap_basic,risk_score,source_crosswalk_id,canonical_crosswalk_id,is_restored_in_sumo_network,sumo_restored_source,crossing_present,walkingarea_present,tlLogic_present,ped_link_indices,ped_has_green,ped_has_red,traci_status,route_smoke_status,final_verdict,runtime_status,registry_crosswalk_id,sumo_restored_level,phase6_ready_confirmed
NODE_21869,126.9802482,37.5597398,__1ê°,__,3,104,50,0.294659686,0,31.314,1,0,0,0,0,3,0,7.8285,15.5743112,NODE_21869,21869,FALSE,NOT_IN_FINAL_237,,,,,,,,,,,,NOT_IN_RESTORED_237,FALSE
NODE_6425,126.9809525,37.55478198,__1ê°,__,3,104,50,0.294659686,0,31.314,1,0,0,0,0,3,0,7.8285,15.5743112,NODE_6425,6425,FALSE,NOT_IN_FINAL_237,,,,,,,,,,,,NOT_IN_RESTORED_237,FALSE
NODE_10067,126.9801622,37.55942872,__1ê°,__,3,104,50,0.294659686,0,31.314,1,0,0,0,0,3,0,7.8285,15.5743112,NODE_10067,10067,FALSE,NOT_IN_FINAL_237,,,,,,,,,,,,NOT_IN_RESTORED_237,FALSE
LINK_266939,126.9796404,37.55397505,¨ëë¬¸ë_5ê°,__,3,104,50,0.294659686,0,18.516,1,0,0,0,0,0,0,4.629,15.43441661,LINK_266939,266939,FALSE,NOT_IN_FINAL_237,,,,,,,,,,,,NOT_IN_RESTORED_237,FALSE
LINK_107613,126.9809337,37.55486436,__1ê°,__,3,104,50,0.294659686,0,18.584,1,0,0,0,0,0,0,4.646,15.43135921,LINK_107613,107613,FALSE,NOT_IN_FINAL_237,,,,,,,,,,,,NOT_IN_RESTORED_237,FALSE
NODE_8382,127.0106468,37.55448672,__,ì²µ¬,4,104,50,0.247846802,0,41.752,1,0,0,0,0,4,0,10.438,15.41507249,NODE_8382,8382,FALSE,NOT_IN_FINAL_237,,,,,,,,,,,,NOT_IN_RESTORED_237,FALSE
NODE_8431,127.0103896,37.55483574,__,ì²µ¬,4,104,50,0.247846802,0,41.752,1,0,0,0,0,4,0,10.438,15.41507249,NODE_8431,8431,FALSE,NOT_IN_FINAL_237,,,,,,,,,,,,NOT_IN_RESTORED_237,FALSE
NODE_6123,126.9785496,37.5586778,¨ì°½,__,3,104,50,0.294659686,0,31.314,1,0,0,0,0,2,0,7.8285,15.33575072,NODE_6123,6123,FALSE,NOT_IN_FINAL_237,,,,,,,,,,,,NOT_IN_RESTORED_237,FALSE
NODE_10333,126.9769396,37.55766756,¨ì°½,__,3,104,50,0.294659686,0,31.314,1,0,0,0,0,2,0,7.8285,15.33575072,NODE_10333,10333,FALSE,NOT_IN_FINAL_237,,,,,,,,,,,,NOT_IN_RESTORED_237,FALSE
NODE_14937,126.9691874,37.55560527,ë´__2ê°,__,3,104,50,0.294659686,0,31.314,1,1,5,26,0.4,2,0,7.8285,15.33575072,NODE_14937,14937,FALSE,NOT_IN_FINAL_237,,,,,,,,,,,,NOT_IN_RESTORED_237,FALSE
NODE_10377,126.969218,37.55521735,ë´__2ê°,__,3,104,50,0.294659686,0,31.314,1,2,6,34,0.333333333,2,0,7.8285,15.33575072,NODE_10377,10377,TRUE,phase6_ready_candidates_total_FINAL_237.csv,TRUE,TRUE,TRUE,[4],TRUE,TRUE,,,,,NODE_10377,RESTORED_SIGNAL_STRUCTURE_OK,FALSE
NODE_6153,126.9768998,37.55779411,¨ì°½,__,3,104,50,0.294659686,0,31.314,1,0,0,0,0,2,0,7.8285,15.33575072,NODE_6153,6153,FALSE,NOT_IN_FINAL_237,,,,,,,,,,,,NOT_IN_RESTORED_237,FALSE
NODE_6082,126.9769746,37.55755612,¨ì°½,__,3,104,50,0.294659686,0,31.314,1,0,0,0,0,2,0,7.8285,15.33575072,NODE_6082,6082,FALSE,NOT_IN_FINAL_237,,,,,,,,,,,,NOT_IN_RESTORED_237,FALSE
