crosswalk_id,lon,lat,dong_name,admin_dong,lanes,road_rank,max_spd,elderly_ratio,accident_count,crosswalk_length,has_signal,accident_count_50m,accident_count_100m,accident_count_200m,night_accident_ratio,link_count,is_oneway,time_gap_basic
138142,126.99931392538278,37.57098422680847,종로4가,종로1·2·3·4가동,2.0,103,50.0,0.2035585258750063,0,21.134,1,14,40,91,0.575,2.0,0.0,5.2835
138143,126.9993228686556,37.57083061117034,종로4가,종로1·2·3·4가동,2.0,103,50.0,0.2035585258750063,0,21.134,1,15,40,91,0.6,2.0,0.0,5.2835
134869,126.98542896183767,37.57032060603705,종로2가,종로1·2·3·4가동,2.0,103,50.0,0.2035585258750063,0,21.134,1,48,88,236,0.7954545454545454,3.0,0.0,5.2835
134870,126.98542603408872,37.5701723433729,종로2가,종로1·2·3·4가동,2.0,103,50.0,0.2035585258750063,0,21.134,1,50,96,241,0.78125,4.0,0.0,5.2835
134871,126.98532846568854,37.57016997791796,종로2가,종로1·2·3·4가동,2.0,103,50.0,0.2035585258750063,1,21.134,1,53,99,232,0.7878787878787878,4.0,0.0,5.2835
134872,126.98748084580185,37.570457336908376,종로2가,종로1·2·3·4가동,2.0,104,30.0,0.2035585258750063,1,21.134,1,45,104,331,0.7211538461538461,4.0,0.0,5.2835
134873,126.98736259954688,37.570342009188245,종로2가,종로1·2·3·4가동,2.0,103,50.0,0.2035585258750063,0,21.134,1,55,117,313,0.7264957264957265,4.0,0.0,5.2835
134874,126.98623022591181,37.57023833426781,종로2가,종로1·2·3·4가동,2.0,103,50.0,0.2035585258750063,0,21.134,1,12,87,291,0.7816091954022989,3.0,0.0,5.2835
134876,126.98613268576081,37.57008300043591,종로2가,종로1·2·3·4가동,2.0,103,50.0,0.2035585258750063,0,21.134,1,17,89,294,0.7865168539325843,4.0,0.0,5.2835
14253,127.01891696023999,37.57132044534015,숭인동,숭인2동,1.0,104,30.0,0.16723489815543316,1,10.567,1,22,36,90,0.3333333333333333,4.0,0.0,2.64175
134883,126.98750754521176,37.56992077139644,종로2가,종로1·2·3·4가동,4.0,104,50.0,0.2035585258750063,1,42.268,1,52,122,331,0.7213114754098361,4.0,0.0,10.567
14269,127.0187087491502,37.57121000934391,창신동,창신3동,1.0,104,30.0,0.2333962858042178,0,10.567,1,24,35,86,0.34285714285714286,4.0,0.0,2.64175
134884,126.98738038027804,37.57009961399053,종로2가,종로1·2·3·4가동,2.0,103,50.0,0.2035585258750063,1,21.134,1,67,123,320,0.7154471544715447,4.0,0.0,5.2835
134885,126.98813723558305,37.57036326989671,종로2가,종로1·2·3·4가동,2.0,103,50.0,0.2035585258750063,0,21.134,1,42,101,331,0.7128712871287128,4.0,0.0,5.2835
14273,127.0054137790448,37.57098113911614,종로5가,종로5·6가동,2.0,103,50.0,0.2035585258750063,0,21.134,1,7,35,171,0.45714285714285713,2.0,0.0,5.2835
134888,126.9881490998028,37.57012558072915,종로2가,종로1·2·3·4가동,2.0,103,50.0,0.2035585258750063,0,21.134,1,45,109,346,0.6880733944954128,2.0,0.0,5.2835
134893,126.98774998862251,37.56991844343219,종로2가,종로1·2·3·4가동,3.0,104,50.0,0.2035585258750063,0,31.701,1,59,124,354,0.7096774193548387,4.0,0.0,7.925249999999998
134894,126.98773823852198,37.56945247492959,관철동,종로1·2·3·4가동,3.0,104,50.0,0.2035585258750063,0,31.701,0,13,100,293,0.69,2.0,0.0,7.925249999999998
137387,127.00195687765128,37.58067355859964,연건동,이화동,2.0,104,50.0,0.19666097015906403,2,21.134,1,10,23,120,0.2608695652173913,2.0,0.0,5.2835
136910,126.99955413497251,37.58834129231896,명륜1가,혜화동,1.0,104,30.0,0.15025660017988465,0,10.567,1,3,8,34,0.25,2.0,0.0,2.64175
136911,126.99970916348693,37.588365017163326,혜화동,혜화동,1.0,104,30.0,0.15025660017988465,0,10.567,1,3,8,32,0.25,2.0,0.0,2.64175
137966,127.00185236218503,37.573407960906,연지동,종로5·6가동,1.0,104,50.0,0.2035585258750063,0,10.567,1,13,24,53,0.4583333333333333,4.0,0.0,2.64175
137967,127.00186129880662,37.57318495120592,연지동,종로5·6가동,2.0,104,30.0,0.2035585258750063,0,21.134,1,15,22,46,0.4090909090909091,4.0,0.0,5.2835
137969,127.00190898867314,37.57312326694771,연지동,종로5·6가동,1.0,104,50.0,0.2035585258750063,3,35.782,1,15,22,49,0.36363636363636365,4.0,0.0,8.945499999999996
137970,127.00213254211845,37.57312326312107,효제동,종로5·6가동,2.0,104,50.0,0.2035585258750063,0,21.134,1,14,20,50,0.4,4.0,0.0,5.2835
137971,127.00223388953587,37.573230021144475,효제동,종로5·6가동,2.0,104,30.0,0.2035585258750063,0,21.134,1,14,19,48,0.42105263157894735,4.0,0.0,5.2835
137972,127.00223985835923,37.573476755009715,연지동,종로5·6가동,4.0,104,70.0,0.2035585258750063,0,67.208,1,13,22,53,0.5,4.0,0.0,16.801999999999992
