crosswalk_id,original_rank,current_status,real_lon,real_lat,current_sumo_lon,current_sumo_lat,mapping_distance_m,location_verified,crossing_exists,tls_connected,ped_link_index_available,pedestrian_only_phase_available,smart_smoke_success,baseline_smoke_success,target_recovery_group,recommended_action,reason
NODE_8382,26,RESULT_OK_BUT_LOCATION_BAD,127.010647,37.554487,127.011406,37.553831,98.998,False,True,True,True,False,True,True,location_repair_or_generated_signal_net_v1,repair_real_location_or_try_generated_crossing_signal,location review needed before smoke
NODE_8431,27,RESULT_OK_BUT_LOCATION_BAD,127.01039,37.554836,127.011406,37.553831,143.24,False,True,True,True,False,True,True,location_repair_or_generated_signal_net_v1,repair_real_location_or_try_generated_crossing_signal,location review needed before smoke
NODE_8452,47,RESULT_OK_BUT_LOCATION_BAD,127.009042,37.556655,127.011406,37.553831,376.937,False,True,True,True,False,True,True,location_repair_or_generated_signal_net_v1,repair_real_location_or_try_generated_crossing_signal,location review needed before smoke
NODE_5938,49,RESULT_OK_BUT_LOCATION_REVIEW,126.976897,37.566841,126.976969,37.566638,23.468,False,True,True,True,False,True,True,location_repair_or_generated_signal_net_v1,repair_real_location_or_try_generated_crossing_signal,location review needed before smoke
NODE_8426,4,GENERATED_GEOMETRY_OK,127.010956,37.554733,127.011406,37.553831,107.854,True,True,False,False,False,False,False,generated_signal_net_v1,try_existing_tls_or_new_signal_installation,no_tls_on_generated_crossing
LINK_212169,18,GENERATED_GEOMETRY_OK,126.976957,37.557612,126.97596,37.558485,130.982,True,True,False,False,False,False,False,generated_signal_net_v1,try_existing_tls_or_new_signal_installation,no_tls_on_generated_crossing
NODE_6123,28,GENERATED_GEOMETRY_OK,126.97855,37.558678,126.97596,37.558485,229.304,True,True,False,False,False,False,False,generated_signal_net_v1,try_existing_tls_or_new_signal_installation,no_tls_on_generated_crossing
NODE_6082,33,GENERATED_GEOMETRY_OK,126.976975,37.557556,126.97596,37.558485,136.645,True,True,False,False,False,False,False,generated_signal_net_v1,try_existing_tls_or_new_signal_installation,no_tls_on_generated_crossing
NODE_10273,46,GENERATED_GEOMETRY_OK,127.009397,37.556784,127.01216,37.559245,366.265,True,True,False,False,False,False,False,generated_signal_net_v1,try_existing_tls_or_new_signal_installation,no_tls_on_generated_crossing
NODE_8452,47,GENERATED_GEOMETRY_OK,127.009042,37.556655,127.011406,37.553831,376.937,True,True,False,False,False,False,False,generated_signal_net_v1,try_existing_tls_or_new_signal_installation,no_tls_on_generated_crossing
