crosswalk_id,tls_id,ped_link_indices,patch_status,patch_action,patched_phase_index,reason
LINK_249048|NODE_5837,5161705573,[2],PATCHED,reuse_all_red_phase_as_pedestrian_only_phase,2,ped_link_index_only_green_vehicle_links_red
LINK_10218|LINK_140740|NODE_10378,11139418715,[2],PATCHED,reuse_all_red_phase_as_pedestrian_only_phase,2,ped_link_index_only_green_vehicle_links_red
NODE_9634,10974501473,[4],PATCHED,reuse_all_red_phase_as_pedestrian_only_phase,2,ped_link_index_only_green_vehicle_links_red
LINK_194891,11203052965,[11],PATCHED,reuse_all_red_phase_as_pedestrian_only_phase,2,ped_link_index_only_green_vehicle_links_red
NODE_5681,11139418723,[2],PATCHED,reuse_all_red_phase_as_pedestrian_only_phase,2,ped_link_index_only_green_vehicle_links_red
NODE_10262,11203041635,[4],PATCHED,reuse_all_red_phase_as_pedestrian_only_phase,2,ped_link_index_only_green_vehicle_links_red
