crosswalk_id,source_crosswalk_id,canonical_crosswalk_id,nearest_junction_id,tls_id_used,crossing_id,crossing_edge_id,ped_link_index,ped_link_indices,ped_depart_offset_sec,ped_repeat_count,ped_repeat_spacing_sec,route_from_edge,route_to_edge,source_file,batch_network_file,final_verdict,step_test_ok,controlled_links_count,crossing_inventory_used
LINK_249048,LINK_249048,LINK_249048,5161705573,5161705573,:5161705573_c0,:5161705573_c0,2,[2],0.0,5,1.5,585341916#4,218926711#4,signal_fix_candidate_table.csv,/Users/junlee/Desktop/2026-1/js/result/phase_next_top50_max_installation_recovery_20260516_002620/signal_fix_net_v1.net.xml,CANDIDATE_TABLE_READY_PENDING_SEED1_SMOKE,True,,False
NODE_5837,NODE_5837,NODE_5837,5161705573,5161705573,:5161705573_c0,:5161705573_c0,2,[2],0.0,5,1.5,585341916#4,218926711#4,signal_fix_candidate_table.csv,/Users/junlee/Desktop/2026-1/js/result/phase_next_top50_max_installation_recovery_20260516_002620/signal_fix_net_v1.net.xml,CANDIDATE_TABLE_READY_PENDING_SEED1_SMOKE,True,,False
LINK_10218,LINK_10218,LINK_10218,11139418715,11139418715,:11139418715_c0,:11139418715_c0,2,[2],0.0,5,1.5,1201492608#1,183272312#1,signal_fix_candidate_table.csv,/Users/junlee/Desktop/2026-1/js/result/phase_next_top50_max_installation_recovery_20260516_002620/signal_fix_net_v1.net.xml,CANDIDATE_TABLE_READY_PENDING_SEED1_SMOKE,True,,False
LINK_140740,LINK_140740,LINK_140740,11139418715,11139418715,:11139418715_c0,:11139418715_c0,2,[2],0.0,5,1.5,1201492608#1,183272312#1,signal_fix_candidate_table.csv,/Users/junlee/Desktop/2026-1/js/result/phase_next_top50_max_installation_recovery_20260516_002620/signal_fix_net_v1.net.xml,CANDIDATE_TABLE_READY_PENDING_SEED1_SMOKE,True,,False
NODE_9634,NODE_9634,NODE_9634,10974501473,10974501473,:10974501473_c0,:10974501473_c0,4,[4],0.0,5,1.5,1461316096#1,333969025#1,signal_fix_candidate_table.csv,/Users/junlee/Desktop/2026-1/js/result/phase_next_top50_max_installation_recovery_20260516_002620/signal_fix_net_v1.net.xml,CANDIDATE_TABLE_READY_PENDING_SEED1_SMOKE,True,,False
LINK_194891,LINK_194891,LINK_194891,11203052965,11203052965,:11203052965_c0,:11203052965_c0,11,[11],0.0,5,1.5,781985788#1,-781985788#1,signal_fix_candidate_table.csv,/Users/junlee/Desktop/2026-1/js/result/phase_next_top50_max_installation_recovery_20260516_002620/signal_fix_net_v1.net.xml,CANDIDATE_TABLE_READY_PENDING_SEED1_SMOKE,True,,False
NODE_10378,NODE_10378,NODE_10378,11139418715,11139418715,:11139418715_c0,:11139418715_c0,2,[2],0.0,5,1.5,1201492608#1,183272312#1,signal_fix_candidate_table.csv,/Users/junlee/Desktop/2026-1/js/result/phase_next_top50_max_installation_recovery_20260516_002620/signal_fix_net_v1.net.xml,CANDIDATE_TABLE_READY_PENDING_SEED1_SMOKE,True,,False
NODE_5681,NODE_5681,NODE_5681,11139418723,11139418723,:11139418723_c0,:11139418723_c0,2,[2],0.0,5,1.5,1201492610#1,183272312#3,signal_fix_candidate_table.csv,/Users/junlee/Desktop/2026-1/js/result/phase_next_top50_max_installation_recovery_20260516_002620/signal_fix_net_v1.net.xml,CANDIDATE_TABLE_READY_PENDING_SEED1_SMOKE,True,,False
NODE_10262,NODE_10262,NODE_10262,11203041635,11203041635,:11203041635_c0,:11203041635_c0,4,[4],0.0,5,1.5,345046979#5,-345046979#5,signal_fix_candidate_table.csv,/Users/junlee/Desktop/2026-1/js/result/phase_next_top50_max_installation_recovery_20260516_002620/signal_fix_net_v1.net.xml,CANDIDATE_TABLE_READY_PENDING_SEED1_SMOKE,True,,False
