crosswalk_id,original_rank,previous_status,next_pool_status,status_label,ready_for_30seed,net_group,status_family,source_tag,reason,failure_category,recovery_strategy,recovery_priority,location_grade,mapping_distance_m,crossing_exists,tls_connected,ped_link_index_available,pedestrian_only_phase_available,route_available,nearest_tls_id,nearest_tls_distance_m,smart_completed,smart_ped_crossing_person_count,smart_extension_count,smart_smoke_success,baseline_completed,baseline_ped_crossing_person_count,baseline_extension_count,baseline_smoke_success
NODE_150723,37,MAIN_READY_CURRENT_NET,READY_EXISTING_28,MAIN_READY_CURRENT_NET,True,current_main,ready,top50_current_main_ready,already ready in current/signal_fix_v1/generated_v1 stage,,,,,,,,,,,,,,,,,,,,
NODE_5681,38,RECOVERED_SIGNAL_FIX_READY,READY_EXISTING_28,SIGNAL_FIX_READY,True,signal_fix,ready,top50_signal_fix_ready,already ready in current/signal_fix_v1/generated_v1 stage,,,,,,,,,,,,,,,,,,,,
NODE_125895,39,MAIN_READY_CURRENT_NET,READY_EXISTING_28,MAIN_READY_CURRENT_NET,True,current_main,ready,top50_current_main_ready,already ready in current/signal_fix_v1/generated_v1 stage,,,,,,,,,,,,,,,,,,,,
NODE_10262,41,RECOVERED_SIGNAL_FIX_READY,READY_EXISTING_28,SIGNAL_FIX_READY,True,signal_fix,ready,top50_signal_fix_ready,already ready in current/signal_fix_v1/generated_v1 stage,,,,,,,,,,,,,,,,,,,,
NODE_122781,42,REJECT,P1_SIGNAL_FIX_PENDING_SEED1,P1_SIGNAL_FIX_READY,True,p1_signal_fix,ready,p1_seed1_smoke_verdict,seed1 smart/baseline passed,,,,,,,,,,,,,True,5.0,1.0,True,True,5.0,0.0,True
NODE_10381,43,MAIN_READY_CURRENT_NET,READY_EXISTING_28,MAIN_READY_CURRENT_NET,True,current_main,ready,top50_current_main_ready,already ready in current/signal_fix_v1/generated_v1 stage,,,,,,,,,,,,,,,,,,,,
NODE_10273,46,RECOVERED_GENERATED_SIGNAL_READY,READY_EXISTING_28,GENERATED_SIGNAL_READY,True,generated_signal,ready,top50_generated_signal_ready,already ready in current/signal_fix_v1/generated_v1 stage,,,,,,,,,,,,,,,,,,,,
NODE_8452,47,RECOVERED_GENERATED_SIGNAL_READY,READY_EXISTING_28,GENERATED_SIGNAL_READY,True,generated_signal,ready,top50_generated_signal_ready,already ready in current/signal_fix_v1/generated_v1 stage,,,,,,,,,,,,,,,,,,,,
LINK_120139,50,MAIN_READY_CURRENT_NET,READY_EXISTING_28,MAIN_READY_CURRENT_NET,True,current_main,ready,top50_current_main_ready,already ready in current/signal_fix_v1/generated_v1 stage,,,,,,,,,,,,,,,,,,,,
NODE_5830,10,NEEDS_MANUAL_REVIEW,P4_MANUAL_REVIEW,P4_MANUAL_REVIEW,False,p4_manual_review,manual_review,remaining22_recovery_diagnosis,signal ready but location review needed,MANUAL_REVIEW_NEEDED,MANUAL_EDGE_PAIR_SELECTION,P4,REVIEW,27.172,True,True,True,True,False,5593950698.0,,,,,,,,,
