crosswalk_id,lon,lat,dong_name,admin_dong,lanes,road_rank,max_spd,elderly_ratio,accident_count,crosswalk_length,has_signal,accident_count_50m,accident_count_100m,accident_count_200m,night_accident_ratio,link_count,is_oneway,time_gap_basic,risk_score,source_crosswalk_id,canonical_crosswalk_id,is_restored_in_sumo_network,sumo_restored_source,crossing_present,walkingarea_present,tlLogic_present,ped_link_indices,ped_has_green,ped_has_red,traci_status,route_smoke_status,final_verdict,runtime_status,registry_crosswalk_id,sumo_restored_level,phase6_ready_confirmed
LINK_249048,126.97406996870374,37.55869644719292,남대문로5가,회현동,5.0,104.0,50.0,0.2946596858638743,0,26.286,1,0,0,0,0.0,0.0,0.0,6.5715,17.62836164474305,LINK_249048,249048,False,NOT_IN_FINAL_237,,,,,,,,,,,,NOT_IN_RESTORED_237,False
NODE_10335,126.9691388170882,37.56806411952721,충정로1가,소공동,3.0,103.0,50.0,0.0977272727272727,0,31.314,1,20,28,42,0.5357142857142857,4.0,0.0,7.828499999999998,17.33824152223324,NODE_10335,10335,False,NOT_IN_FINAL_237,,,,,,,,,,,,NOT_IN_RESTORED_237,False
NODE_8369,127.01163269719552,37.55385956814979,신당동,청구동,4.0,104.0,60.0,0.2478468022723108,0,41.752,1,0,0,0,0.0,4.0,0.0,10.437999999999995,16.894706504250845,NODE_8369,8369,True,phase6_ready_candidates_total_FINAL_237.csv,True,True,True,[11],True,True,,,,,NODE_8369,RESTORED_SIGNAL_STRUCTURE_OK,False
NODE_8426,127.0109558703008,37.55473270878675,신당동,청구동,4.0,104.0,60.0,0.2478468022723108,0,41.752,1,0,0,0,0.0,4.0,0.0,10.437999999999995,16.894706504250845,NODE_8426,8426,False,NOT_IN_FINAL_237,,,,,,,,,,,,NOT_IN_RESTORED_237,False
NODE_5837,126.97420017950492,37.55863801970813,남대문로5가,회현동,5.0,104.0,50.0,0.2946596858638743,0,52.190000000000005,1,0,0,0,0.0,2.0,0.0,13.047499999999992,16.859484055668624,NODE_5837,5837,False,NOT_IN_FINAL_237,,,,,,,,,,,,NOT_IN_RESTORED_237,False
NODE_167173,126.96904720498506,37.56796525397408,충정로1가,소공동,3.0,103.0,50.0,0.0977272727272727,0,31.314,1,17,28,43,0.5357142857142857,2.0,0.0,7.828499999999998,16.811150377854993,NODE_167173,167173,False,NOT_IN_FINAL_237,,,,,,,,,,,,NOT_IN_RESTORED_237,False
LINK_239754,126.9738134908212,37.55874663985232,남대문로5가,회현동,4.0,104.0,50.0,0.2946596858638743,0,17.543,1,0,0,0,0.0,0.0,0.0,4.385749999999998,16.73006840094175,LINK_239754,239754,False,NOT_IN_FINAL_237,,,,,,,,,,,,NOT_IN_RESTORED_237,False
NODE_74388,126.97407100351302,37.553951074533295,남대문로5가,회현동,4.0,104.0,50.0,0.2946596858638743,0,41.752,1,2,6,35,0.3333333333333333,3.0,0.0,10.437999999999995,16.329709841668073,NODE_74388,74388,False,NOT_IN_FINAL_237,,,,,,,,,,,,NOT_IN_RESTORED_237,False
NODE_5846,126.97393566808076,37.5587432341164,남대문로5가,회현동,4.0,104.0,50.0,0.2946596858638743,0,41.752,1,0,0,0,0.0,2.0,0.0,10.437999999999995,16.079578500050754,NODE_5846,5846,False,NOT_IN_FINAL_237,,,,,,,,,,,,NOT_IN_RESTORED_237,False
NODE_5830,126.97373154540536,37.558791248064864,남대문로5가,회현동,4.0,104.0,50.0,0.2946596858638743,0,41.752,1,0,0,0,0.0,2.0,0.0,10.437999999999995,16.079578500050754,NODE_5830,5830,False,NOT_IN_FINAL_237,,,,,,,,,,,,NOT_IN_RESTORED_237,False
NODE_5831,126.973895436237,37.55870203163978,남대문로5가,회현동,4.0,104.0,50.0,0.2946596858638743,0,41.752,1,0,0,0,0.0,2.0,0.0,10.437999999999995,16.079578500050754,NODE_5831,5831,False,NOT_IN_FINAL_237,,,,,,,,,,,,NOT_IN_RESTORED_237,False
LINK_10218,126.9692222948074,37.55532691336708,봉래동2가,회현동,3.0,104.0,50.0,0.2946596858638743,0,7.523,1,2,6,34,0.3333333333333333,0.0,0.0,1.880749999999999,15.936730126230533,LINK_10218,10218,False,NOT_IN_FINAL_237,,,,,,,,,,,,NOT_IN_RESTORED_237,False
LINK_140740,126.96922075770152,37.55525519221925,봉래동2가,회현동,3.0,104.0,50.0,0.2946596858638743,0,8.415,1,2,6,34,0.3333333333333333,0.0,0.0,2.10375,15.895368724497668,LINK_140740,140740,False,NOT_IN_FINAL_237,,,,,,,,,,,,NOT_IN_RESTORED_237,False
NODE_10060,126.98218112203404,37.56060393766808,회현동2가,회현동,3.0,104.0,50.0,0.2946596858638743,0,31.314,1,0,0,1,0.0,4.0,0.0,7.828499999999998,15.816582680263751,NODE_10060,10060,False,NOT_IN_FINAL_237,,,,,,,,,,,,NOT_IN_RESTORED_237,False
NODE_6342,126.9809478481145,37.561584642267846,남대문로3가,회현동,3.0,104.0,50.0,0.2946596858638743,0,31.314,1,0,0,1,0.0,4.0,0.0,7.828499999999998,15.816582680263751,NODE_6342,6342,False,NOT_IN_FINAL_237,,,,,,,,,,,,NOT_IN_RESTORED_237,False
NODE_5647,126.96727022454114,37.565890019971285,충정로1가,소공동,1.0,103.0,50.0,0.0977272727272727,0,10.438,1,2,47,115,0.5531914893617021,4.0,0.0,2.609499999999999,15.77123884833768,NODE_5647,5647,False,NOT_IN_FINAL_237,,,,,,,,,,,,NOT_IN_RESTORED_237,False
NODE_9634,126.9670777439272,37.56587719063068,충정로1가,소공동,1.0,103.0,50.0,0.0977272727272727,0,10.438,1,7,70,121,0.5142857142857142,4.0,0.0,2.609499999999999,15.77123884833768,NODE_9634,9634,False,NOT_IN_FINAL_237,,,,,,,,,,,,NOT_IN_RESTORED_237,False
LINK_212169,126.97695710602544,37.55761183964772,남창동,회현동,3.0,104.0,50.0,0.2946596858638743,0,12.75,1,0,0,0,0.0,0.0,0.0,3.1875,15.695881308958034,LINK_212169,212169,False,NOT_IN_FINAL_237,,,,,,,,,,,,NOT_IN_RESTORED_237,False
LINK_194891,126.98199101991293,37.56050303087396,회현동2가,회현동,4.0,104.0,50.0,0.2946596858638743,0,40.375,1,0,0,1,0.0,0.0,0.0,10.09375,15.653422500888198,LINK_194891,194891,False,NOT_IN_FINAL_237,,,,,,,,,,,,NOT_IN_RESTORED_237,False
LINK_153517,126.97691969839532,37.55773083606243,남창동,회현동,3.0,104.0,50.0,0.2946596858638743,0,14.478,1,0,0,0,0.0,0.0,0.0,3.6195,15.617062098934918,LINK_153517,153517,False,NOT_IN_FINAL_237,,,,,,,,,,,,NOT_IN_RESTORED_237,False
NODE_21869,126.98024816582196,37.55973979809862,회현동1가,회현동,3.0,104.0,50.0,0.2946596858638743,0,31.314,1,0,0,0,0.0,3.0,0.0,7.828499999999998,15.574311195713504,NODE_21869,21869,False,NOT_IN_FINAL_237,,,,,,,,,,,,NOT_IN_RESTORED_237,False
NODE_6425,126.980952454655,37.55478197888991,회현동1가,회현동,3.0,104.0,50.0,0.2946596858638743,0,31.314,1,0,0,0,0.0,3.0,0.0,7.828499999999998,15.574311195713504,NODE_6425,6425,False,NOT_IN_FINAL_237,,,,,,,,,,,,NOT_IN_RESTORED_237,False
NODE_10067,126.9801621512504,37.559428715703774,회현동1가,회현동,3.0,104.0,50.0,0.2946596858638743,0,31.314,1,0,0,0,0.0,3.0,0.0,7.828499999999998,15.574311195713504,NODE_10067,10067,False,NOT_IN_FINAL_237,,,,,,,,,,,,NOT_IN_RESTORED_237,False
LINK_266939,126.97964042940302,37.55397505153188,남대문로5가,회현동,3.0,104.0,50.0,0.2946596858638743,0,18.516,1,0,0,0,0.0,0.0,0.0,4.628999999999998,15.434416607464048,LINK_266939,266939,False,NOT_IN_FINAL_237,,,,,,,,,,,,NOT_IN_RESTORED_237,False
