file_path,size_mb,file_type,suggested_action,reason,safe_to_delete,keep_reason_if_any
phase6_transition_after_recovery_20260514_220549/phase6_vehicle_experiment_300_30seed/volume_300/seed_09/baseline/phase6_vehicle_flow_baseline.sumocfg,0.000706,sumocfg,REVIEW,reproducible sumocfg,False,
phase6_transition_after_recovery_20260514_220549/phase6_vehicle_experiment_300_30seed/volume_300/seed_09/smart/phase6_vehicle_flow_smart.sumocfg,0.000703,sumocfg,REVIEW,reproducible sumocfg,False,
phase6_transition_after_recovery_20260514_220549/phase6_vehicle_experiment_300_30seed/volume_300/seed_10/baseline/phase6_vehicle_flow_baseline.sumocfg,0.000706,sumocfg,REVIEW,reproducible sumocfg,False,
phase6_transition_after_recovery_20260514_220549/phase6_vehicle_experiment_300_30seed/volume_300/seed_10/smart/phase6_vehicle_flow_smart.sumocfg,0.000703,sumocfg,REVIEW,reproducible sumocfg,False,
phase6_transition_after_recovery_20260514_220549/phase6_vehicle_experiment_300_30seed/volume_300/seed_11/baseline/phase6_vehicle_flow_baseline.sumocfg,0.000706,sumocfg,REVIEW,reproducible sumocfg,False,
phase6_transition_after_recovery_20260514_220549/phase6_vehicle_experiment_300_30seed/volume_300/seed_11/smart/phase6_vehicle_flow_smart.sumocfg,0.000703,sumocfg,REVIEW,reproducible sumocfg,False,
phase6_transition_after_recovery_20260514_220549/phase6_vehicle_experiment_300_30seed/volume_300/seed_12/baseline/phase6_vehicle_flow_baseline.sumocfg,0.000706,sumocfg,REVIEW,reproducible sumocfg,False,
phase6_transition_after_recovery_20260514_220549/phase6_vehicle_experiment_300_30seed/volume_300/seed_12/smart/phase6_vehicle_flow_smart.sumocfg,0.000703,sumocfg,REVIEW,reproducible sumocfg,False,
phase6_transition_after_recovery_20260514_220549/phase6_vehicle_experiment_300_30seed/volume_300/seed_13/baseline/phase6_vehicle_flow_baseline.sumocfg,0.000706,sumocfg,REVIEW,reproducible sumocfg,False,
phase6_transition_after_recovery_20260514_220549/phase6_vehicle_experiment_300_30seed/volume_300/seed_13/smart/phase6_vehicle_flow_smart.sumocfg,0.000703,sumocfg,REVIEW,reproducible sumocfg,False,
phase6_transition_after_recovery_20260514_220549/phase6_vehicle_experiment_300_30seed/volume_300/seed_14/baseline/phase6_vehicle_flow_baseline.sumocfg,0.000706,sumocfg,REVIEW,reproducible sumocfg,False,
phase6_transition_after_recovery_20260514_220549/phase6_vehicle_experiment_300_30seed/volume_300/seed_14/smart/phase6_vehicle_flow_smart.sumocfg,0.000703,sumocfg,REVIEW,reproducible sumocfg,False,
phase6_transition_after_recovery_20260514_220549/phase6_vehicle_experiment_300_30seed/volume_300/seed_15/baseline/phase6_vehicle_flow_baseline.sumocfg,0.000706,sumocfg,REVIEW,reproducible sumocfg,False,
phase6_transition_after_recovery_20260514_220549/phase6_vehicle_experiment_300_30seed/volume_300/seed_15/smart/phase6_vehicle_flow_smart.sumocfg,0.000703,sumocfg,REVIEW,reproducible sumocfg,False,
