crosswalk_id,is_restored_in_sumo_network,sumo_restored_level,phase6_ready_confirmed,sumo_restored_source,in_final_237,in_integrity_237
LINK_148352,False,NOT_IN_RESTORED_237,False,,False,False
LINK_155216,False,NOT_IN_RESTORED_237,False,,False,False
LINK_67096,False,NOT_IN_RESTORED_237,False,,False,False
LINK_168397,False,NOT_IN_RESTORED_237,False,,False,False
LINK_187451,False,NOT_IN_RESTORED_237,False,,False,False
LINK_66665,True,RESTORED_SIGNAL_STRUCTURE_OK,False,phase6_ready_candidates_total_FINAL_237.csv|phase6_ready_candidates_total_FINAL_237_integrity_check.csv,True,True
NODE_15244,False,NOT_IN_RESTORED_237,False,,False,False
NODE_15152,True,RESTORED_SIGNAL_STRUCTURE_OK,False,phase6_ready_candidates_total_FINAL_237.csv|phase6_ready_candidates_total_FINAL_237_integrity_check.csv,True,True
NODE_15197,True,RESTORED_SIGNAL_STRUCTURE_OK,False,phase6_ready_candidates_total_FINAL_237.csv|phase6_ready_candidates_total_FINAL_237_integrity_check.csv,True,True
LINK_209032,False,NOT_IN_RESTORED_237,False,,False,False
LINK_156498,True,RESTORED_SIGNAL_STRUCTURE_OK,False,phase6_ready_candidates_total_FINAL_237.csv|phase6_ready_candidates_total_FINAL_237_integrity_check.csv,True,True
NODE_8609,False,NOT_IN_RESTORED_237,False,,False,False
NODE_8606,True,RESTORED_SIGNAL_STRUCTURE_OK,False,phase6_ready_candidates_total_FINAL_237.csv|phase6_ready_candidates_total_FINAL_237_integrity_check.csv,True,True
NODE_8607,True,RESTORED_SIGNAL_STRUCTURE_OK,False,phase6_ready_candidates_total_FINAL_237.csv|phase6_ready_candidates_total_FINAL_237_integrity_check.csv,True,True
NODE_8612,False,NOT_IN_RESTORED_237,False,,False,False
LINK_260247,True,RESTORED_SIGNAL_STRUCTURE_OK,False,phase6_ready_candidates_total_FINAL_237.csv|phase6_ready_candidates_total_FINAL_237_integrity_check.csv,True,True
LINK_41280,False,NOT_IN_RESTORED_237,False,,False,False
LINK_44500,False,NOT_IN_RESTORED_237,False,,False,False
LINK_24931,False,NOT_IN_RESTORED_237,False,,False,False
LINK_23970,False,NOT_IN_RESTORED_237,False,,False,False
LINK_186738,False,NOT_IN_RESTORED_237,False,,False,False
LINK_137776,False,NOT_IN_RESTORED_237,False,,False,False
LINK_273448,False,NOT_IN_RESTORED_237,False,,False,False
LINK_214362,True,RESTORED_SIGNAL_STRUCTURE_OK,False,phase6_ready_candidates_total_FINAL_237.csv|phase6_ready_candidates_total_FINAL_237_integrity_check.csv,True,True
LINK_100063,True,RESTORED_SIGNAL_STRUCTURE_OK,False,phase6_ready_candidates_total_FINAL_237.csv|phase6_ready_candidates_total_FINAL_237_integrity_check.csv,True,True
LINK_258928,True,RESTORED_SIGNAL_STRUCTURE_OK,False,phase6_ready_candidates_total_FINAL_237.csv|phase6_ready_candidates_total_FINAL_237_integrity_check.csv,True,True
LINK_214921,False,NOT_IN_RESTORED_237,False,,False,False
NODE_20729,False,NOT_IN_RESTORED_237,False,,False,False
NODE_7066,False,NOT_IN_RESTORED_237,False,,False,False
NODE_6527,False,NOT_IN_RESTORED_237,False,,False,False
LINK_913,False,NOT_IN_RESTORED_237,False,,False,False
LINK_239893,False,NOT_IN_RESTORED_237,False,,False,False
LINK_208146,False,NOT_IN_RESTORED_237,False,,False,False
LINK_33399,False,NOT_IN_RESTORED_237,False,,False,False
LINK_104700,False,NOT_IN_RESTORED_237,False,,False,False
LINK_93053,False,NOT_IN_RESTORED_237,False,,False,False
NODE_8077,False,NOT_IN_RESTORED_237,False,,False,False
NODE_9896,False,NOT_IN_RESTORED_237,False,,False,False
NODE_15436,True,RESTORED_SIGNAL_STRUCTURE_OK,False,phase6_ready_candidates_total_FINAL_237.csv|phase6_ready_candidates_total_FINAL_237_integrity_check.csv,True,True
LINK_125027,True,RESTORED_SIGNAL_STRUCTURE_OK,False,phase6_ready_candidates_total_FINAL_237.csv|phase6_ready_candidates_total_FINAL_237_integrity_check.csv,True,True
LINK_75603,False,NOT_IN_RESTORED_237,False,,False,False
