group,crosswalk_id,scenario,seed,pedestrian_crossing_count,pedestrian_clearance_failure_count,unfinished_crossing_count,ped_wait_time_mean,ped_wait_time_max,veh_delay_mean,veh_avg_delay_sec,network_avg_delay_sec,network_arrived_vehicles,local_500m_avg_delay_sec,local_500m_vehicle_count,local_500m_mean_speed,total_vehicle_arrivals,extension_count,total_extension_sec,pedestrian_green_extension_count,pet_event_count,low_pet_event_count,low_pet_per_100_crossings,pet_min,pet_p10,pet_mean,very_risky_crossing_count,risky_crossing_count,safety_risk_score,accident_risk_estimate,accident_expected_value,elderly_incomplete_crossings,run_label,elapsed_sec,sim_duration,warmup,step_length,ped_link_index,step_count,ped_crossing_presence_steps,ped_crossing_person_count,expected_ped_repeat_count,veh_delay_max,generated_vehicle_count,vehicle_route_count,unique_vehicle_route_count,duplicate_factor,unique_vehicle_route_ratio,used_vehicle_edges,network_departed_vehicles,network_mean_travel_time,network_mean_time_loss,network_vehicle_edge_coverage_ratio,network_teleport_count,network_collision_count,local_500m_mean_time_loss,local_500m_queue_proxy,local_500m_stop_count,surrounding_lane_count,vehicle_bbox_coverage,safe_crossing_count,low_pet_per_100_conflict_candidates,pet_coverage_ratio,average_pedestrian_wait_time,pedestrian_waiting_time_mean,pedestrian_waiting_time,pedestrian_waiting_time_max,max_pedestrian_wait_time,avg_vehicle_delay_sec,surrounding_road_delay_sec,vehicle_delay_cost,avg_queue_length,max_queue_length
current_main_12,LINK_120139,baseline,6.0,15.0,0.0,0.0,,,10.47,10.47,,906.0,10.576543942992876,356.0,12.994035038643585,3471.0,0.0,0.0,0.0,18.0,18.0,120.0,0.0,0.0,0.0,18.0,0.0,1.2,1.2,1.2,0.0,baseline_6,1466.296,600.0,0.0,0.1,11.0,6000.0,862.0,15.0,5.0,82.5,12.0,3480.0,3480.0,1.0,1.0,16569.0,3471.0,,,0.5788924174533432,0.0,0.0,51.28190495845951,6.262295081967213,157.0,167.0,1.0,0.0,138.46153846153845,1.2,,,,,,,10.576543942992876,,,
current_main_12,LINK_120139,smart,6.0,15.0,0.0,0.0,,,10.39,10.39,,896.0,10.486511342734518,344.0,13.184586833318193,3472.0,1.0,5.0,1.0,16.0,16.0,106.66666666666669,0.0,0.0,0.0,16.0,0.0,1.0666666666666669,1.0666666666666669,1.0666666666666669,0.0,smart_6,1434.209,600.0,0.0,0.1,11.0,6000.0,427.0,15.0,5.0,84.9,12.0,3480.0,3480.0,1.0,1.0,16569.0,3472.0,,,0.5790229260016531,0.0,0.0,48.098074794700025,5.688524590163935,133.0,167.0,1.0,0.0,123.07692307692308,1.067,,,,,,,10.486511342734518,,,
current_main_12,LINK_120139,baseline,7.0,15.0,0.0,0.0,,,10.35,10.35,,870.0,10.059532828282828,346.0,13.729519136100986,3467.0,0.0,0.0,0.0,18.0,18.0,120.0,0.0,0.0,0.0,18.0,0.0,1.2,1.2,1.2,0.0,baseline_7,1436.597,600.0,0.0,0.1,11.0,6000.0,864.0,15.0,5.0,82.0,12.0,3480.0,3480.0,1.0,1.0,16562.0,3467.0,,,0.5721929786401009,0.0,0.0,39.26913562649032,5.360655737704918,136.0,167.0,1.0,0.0,138.46153846153845,1.2,,,,,,,10.059532828282828,,,
current_main_12,LINK_120139,smart,7.0,15.0,0.0,0.0,,,9.28,9.28,,877.0,9.253047989623866,343.0,13.552240370063846,3466.0,1.0,5.0,1.0,16.0,16.0,106.66666666666669,0.0,0.0,0.0,16.0,0.0,1.0666666666666669,1.0666666666666669,1.0666666666666669,0.0,smart_7,1406.471,600.0,0.0,0.1,11.0,6000.0,473.0,15.0,5.0,65.1,12.0,3480.0,3480.0,1.0,1.0,16562.0,3466.0,,,0.5749336581546092,0.0,0.0,37.90485497531792,5.19672131147541,136.0,167.0,1.0,0.0,123.07692307692308,1.067,,,,,,,9.253047989623866,,,
current_main_12,LINK_120139,baseline,8.0,15.0,0.0,0.0,,,13.79,13.79,,894.0,14.0064,346.0,12.508722755596342,3464.0,0.0,0.0,0.0,18.0,18.0,120.0,0.0,0.0,0.0,18.0,0.0,1.2,1.2,1.2,0.0,baseline_8,1453.654,600.0,0.0,0.1,11.0,6000.0,862.0,15.0,5.0,88.8,12.0,3480.0,3480.0,1.0,1.0,16618.0,3464.0,,,0.5779353547657372,0.0,0.0,50.4360788630295,7.032786885245901,175.0,167.0,1.0,0.0,138.46153846153845,1.2,,,,,,,14.0064,,,
current_main_12,LINK_120139,smart,8.0,15.0,0.0,0.0,,,11.61,11.61,,878.0,11.579938271604938,340.0,13.668970127586762,3463.0,1.0,5.0,1.0,16.0,16.0,106.66666666666669,0.0,0.0,0.0,16.0,0.0,1.0666666666666669,1.0666666666666669,1.0666666666666669,0.0,smart_8,1418.96,600.0,0.0,0.1,11.0,6000.0,427.0,15.0,5.0,82.2,12.0,3480.0,3480.0,1.0,1.0,16618.0,3463.0,,,0.5744551268108061,0.0,0.0,45.2848116627696,5.524590163934426,150.0,167.0,1.0,0.0,123.07692307692308,1.067,,,,,,,11.579938271604938,,,
current_main_12,LINK_120139,baseline,9.0,15.0,0.0,0.0,,,12.64,12.64,,929.0,12.849188214070956,334.0,12.910209833966192,3467.0,0.0,0.0,0.0,18.0,18.0,120.0,0.0,0.0,0.0,18.0,0.0,1.2,1.2,1.2,0.0,baseline_9,1438.408,600.0,0.0,0.1,11.0,6000.0,862.0,15.0,5.0,100.0,12.0,3480.0,3480.0,1.0,1.0,16613.0,3467.0,,,0.5808935485274286,0.0,0.0,51.44336675609283,6.508196721311475,157.0,167.0,1.0,0.0,138.46153846153845,1.2,,,,,,,12.849188214070956,,,
current_main_12,LINK_120139,smart,9.0,15.0,0.0,0.0,,,11.12,11.12,,933.0,11.374865991661702,348.0,13.154673225138708,3469.0,1.0,5.0,1.0,16.0,16.0,106.66666666666669,0.0,0.0,0.0,16.0,0.0,1.0666666666666669,1.0666666666666669,1.0666666666666669,0.0,smart_9,1394.256,600.0,0.0,0.1,11.0,6000.0,427.0,15.0,5.0,80.1,12.0,3480.0,3480.0,1.0,1.0,16613.0,3469.0,,,0.5808500456779919,0.0,0.0,48.52043035623802,6.295081967213115,163.0,167.0,1.0,0.0,123.07692307692308,1.067,,,,,,,11.374865991661702,,,
current_main_12,LINK_120139,baseline,10.0,15.0,0.0,0.0,,,15.94,15.94,,799.0,15.521958456973294,366.0,12.141791773751962,3463.0,0.0,0.0,0.0,18.0,18.0,120.0,0.0,0.0,0.0,18.0,0.0,1.2,1.2,1.2,0.0,baseline_10,1483.755,600.0,0.0,0.1,11.0,6000.0,862.0,15.0,5.0,96.5,12.0,3480.0,3480.0,1.0,1.0,16573.0,3463.0,,,0.5713229216513681,0.0,0.0,45.75295132260595,8.98360655737705,174.0,167.0,1.0,0.0,138.46153846153845,1.2,,,,,,,15.521958456973294,,,
current_main_12,LINK_120139,smart,10.0,15.0,0.0,0.0,,,14.58,14.58,,799.0,14.81018981018981,365.0,12.548688623862637,3464.0,1.0,5.0,1.0,16.0,16.0,106.66666666666669,0.0,0.0,0.0,16.0,0.0,1.0666666666666669,1.0666666666666669,1.0666666666666669,0.0,smart_10,1454.378,600.0,0.0,0.1,11.0,6000.0,427.0,15.0,5.0,99.9,12.0,3480.0,3480.0,1.0,1.0,16573.0,3464.0,,,0.5702353504154523,0.0,0.0,43.958432755651415,8.557377049180328,178.0,167.0,1.0,0.0,123.07692307692308,1.067,,,,,,,14.81018981018981,,,
