crosswalk_id,dong_name,net_group,net_file,risk_rank,risk_score,lat,lon,tls_id_used,crossing_edge_id,tls_ok,ped_route_ok,mapping_status,mapping_reason,is_top7,match_distance_m,mapping_confidence,runnable_for_signal_extension
NODE_5846,남대문로5가,current_main,result/active/nets/current_main_12.net.xml,11,16.079578500050754,37.55874323,126.9739357,5593950698,:5593950698_c0,True,True,exact,현실 좌표와 SUMO crossing 거리 13.6m (< 50m),True,13.58116711027742,verified,True
NODE_5938,태평로1가,p1_p4_recovery,result/active/nets/p1_p4_recovery_6.net.xml,49,14.895305392338535,37.56684067,126.976897,5851251266,:5851251266_c0,True,True,exact,현실 좌표와 SUMO crossing 거리 7.4m (< 50m),False,7.36587008634872,verified,True
NODE_6082,남창동,generated_signal,result/active/nets/generated_signal_7.net.xml,35,15.335750719629049,37.55755612,126.9769746,11449716078,:11449716078_c0,True,True,distant,매핑 거리 큼 280.0m (> 100m),False,279.98062888128817,,True
NODE_6123,남창동,generated_signal,result/active/nets/generated_signal_7.net.xml,37,15.335750719629049,37.5586778,126.9785496,7300992884,:7300992884_c0,True,True,distant,매핑 거리 큼 296.9m (> 100m),False,296.8790890490921,,True
NODE_6342,남대문로3가,p1_p4_recovery,result/active/nets/p1_p4_recovery_6.net.xml,15,15.816582680263751,37.56158464,126.9809478,11203041633,:11203041633_c0,True,True,distant,매핑 거리 큼 150.6m (> 100m),False,150.58394719272076,,True
NODE_74388,남대문로5가,generated_signal,result/active/nets/generated_signal_7.net.xml,8,16.329709841668073,37.55395107,126.974071,436883130,:436883130_c0,True,True,approx,근사 매핑 86.8m (50~100m),False,86.78493996007555,verified,True
NODE_8369,신당동,current_main,result/active/nets/current_main_12.net.xml,3,16.894706504250845,37.55385957,127.0116327,1936511299,:1936511299_c0,True,True,distant,매핑 거리 큼 598.2m (> 100m),True,598.16061106127,,True
NODE_8426,신당동,generated_signal,result/active/nets/generated_signal_7.net.xml,4,16.894706504250845,37.55473271,127.0109559,3849142980,:3849142980_c0,True,True,distant,매핑 거리 큼 511.5m (> 100m),False,511.52228096887194,,True
NODE_8452,신당동,generated_signal,result/active/nets/generated_signal_7.net.xml,47,14.946446640192647,37.55665524,127.0090416,3846603653,:3846603653_c0,True,True,distant,매핑 거리 큼 396.7m (> 100m),False,396.7339569407702,,True
NODE_9634,충정로1가,signal_fix,result/active/nets/signal_fix_9.net.xml,17,15.77123884833768,37.56587719,126.9670777,10974501473,:10974501473_c0,True,True,exact,현실 좌표와 SUMO crossing 거리 9.2m (< 50m),False,9.163595723744413,verified,True
