횡단보도ID,lon,lat,읍면동명,LANES,ROAD_RANK,MAX_SPD,사고건수,추정AADT,행정동,노인비율
10377,126.96921799083479,37.55521734894932,봉래동2가,3.0,104,50.0,0,26875.559786532827,중림동,0.1901991313611407
10378,126.96922352456825,37.555293035489186,봉래동2가,3.0,104,50.0,0,26875.559786532827,중림동,0.1901991313611407
10381,126.97645250152681,37.55415182026164,남대문로5가,2.0,104,50.0,0,26875.559786532827,중림동,0.1901991313611407
10382,126.976424483047,37.55349426337558,남대문로5가,2.0,104,50.0,0,26875.559786532827,중림동,0.1901991313611407
10383,126.97648672653058,37.55501002744776,남대문로5가,2.0,104,50.0,4,26875.559786532827,중림동,0.1901991313611407
8339,127.0079939678992,37.55799067413339,장충동2가,4.0,104,50.0,2,26875.559786532827,장충동,0.17818315828266076
8340,127.00822109643221,37.558237820098846,장충동1가,4.0,104,50.0,4,26875.559786532827,장충동,0.17818315828266076
8369,127.01163269719551,37.55385956814979,신당동,4.0,104,60.0,1,26875.559786532827,신당동,0.1998197792295562
9628,126.96296755148786,37.5520955451973,만리동2가,2.0,104,50.0,5,26875.559786532827,중림동,0.1901991313611407
9632,126.97156218080158,37.55981146010439,순화동,2.0,104,40.0,0,26875.559786532827,을지로동,0.15585960737656157
9633,126.97121879422104,37.55940398899696,순화동,4.0,104,40.0,3,26875.559786532827,을지로동,0.15585960737656157
9634,126.96707774392719,37.56587719063068,충정로1가,1.0,103,50.0,0,32310.64301369863,중림동,0.1901991313611407
9636,126.97004701881298,37.56738612229849,정동,1.0,104,30.0,0,26875.559786532827,을지로동,0.15585960737656157
9637,126.96986577203516,37.56765838201035,정동,1.0,104,30.0,0,26875.559786532827,을지로동,0.15585960737656157
9639,126.9715740505189,37.56640243216203,정동,1.0,104,30.0,0,26875.559786532827,을지로동,0.15585960737656157
9650,126.97593370014896,37.558448437562156,남창동,1.0,104,50.0,2,26875.559786532827,회현동,0.29465968586387437
15436,127.00974565147868,37.565596477136836,을지로7가,2.0,104,30.0,0,26875.559786532827,을지로동,0.15585960737656157
14914,126.96780689201877,37.5550583276416,만리동1가,2.0,104,50.0,0,26875.559786532827,중림동,0.1901991313611407
14921,126.96850883651592,37.55717884338945,만리동1가,1.0,104,50.0,2,26875.559786532827,중림동,0.1901991313611407
14937,126.96918741878173,37.5556052746049,봉래동2가,3.0,104,50.0,0,26875.559786532827,중림동,0.1901991313611407
14942,126.96721196854988,37.55807330680695,중림동,1.0,104,30.0,0,26875.559786532827,중림동,0.1901991313611407
