사고ID,횡단보도ID,매칭거리
2010022400100249,10007.0,26.445899611695125
2010031200100313,6951.0,7.753670237644022
2010040200100367,6343.0,59.32926942448371
2010040900100078,6285.0,69.67946141012155
2010050600100079,8430.0,52.727542394831396
2010052700100355,7692.0,7.933436302262938
2010060700100052,137963.0,54.58840558737768
2010062600100209,9068.0,9.235126711504865
2010070700100339,10359.0,29.16778507246009
2010081300100031,20732.0,10.209411908034573
2010102500100037,5831.0,17.04257445502414
2010111600100270,7407.0,23.643495875760667
2010120600100049,6428.0,6.5358970348891825
2010122900100471,7406.0,15.701720018336578
2011022100100298,8902.0,5.598625619050102
2011031600100154,15409.0,22.412708244262266
2011032800100174,71666.0,50.58162184760646
2011041200100305,8607.0,16.621374655458393
2011041600100180,10368.0,28.851183960485145
2011060100100517,8594.0,19.626070546345158
2011062200100257,6213.0,16.194001426554202
2011072600100179,8429.0,21.700952532879118
2011082300100269,6122.0,20.34569735901149
2011101500100274,5782.0,9.78392783885886
2011101800100276,6338.0,56.3610424994752
2012010600100323,8378.0,79.63239025638856
2012020800100382,8132.0,21.706369506302323
2012041800100257,5634.0,51.03335194378877
2012052500100601,6213.0,13.956599435507997
2012060100100258,89.0,9.177990723429458
2012061700100412,9354.0,38.12141918148247
2012062100100445,20735.0,9.713089352398399
2012062500100634,9650.0,6.705467927688499
2012062800100363,8231.0,5.042231580590834
2012080900100322,125895.0,12.177185926647068
2012082000100478,9440.0,62.18377082299415
2012082800100288,8340.0,38.747957587587585
2012090200100339,7372.0,23.669240248459413
2012092200100298,5831.0,4.955419639851109
2012092900100371,8430.0,28.246493760647763
2012101100100239,8469.0,12.7977127153755
2012101400100250,10148.0,7.345566259013737
2012120100100216,125895.0,27.21863054484193
2012120100100217,9097.0,7.430500732789401
2013011600100222,6153.0,62.109788663943576
2013012100100261,8469.0,13.275135514624228
2013012900100001,8607.0,9.847727551634845
2013020300100122,6592.0,18.287131450786504
2013030300100400,137963.0,76.60619831200998
2013030400100036,23040.0,42.802424584661615
2013032000100256,6123.0,31.045908463075314
2013032600100138,6022.0,12.674799939568617
2013040100100180,8191.0,24.251797613208666
2013040200100080,9900.0,24.703458990131228
2013050900100550,10328.0,82.68834195346733
2013051100100413,10261.0,64.731390032425
2013052100100310,125895.0,18.722852806370053
2013052700100048,8620.0,10.44606170234755
2013061700100026,71666.0,49.28686071189675
2013070400100089,8902.0,53.855664459446764
2013080800100042,6336.0,72.3044121592002
2013082800100214,9494.0,46.63435270573464
2013090700100079,7103.0,79.53593941611796
2013090900100045,8340.0,8.229054601191859
2013090900100229,6213.0,59.63557210725889
2013091200100288,9915.0,37.52294965538461
2013111400100016,23040.0,98.14973395502835
2013111700100131,5959.0,4.023099552804206
2013112000100356,5846.0,1.5678430555850147
2013120200100544,6769.0,48.3368002292617
2014010400100154,6886.0,20.13713358835384
2014021000100182,8734.0,69.30636508431236
2014021700100287,10357.0,7.387736656598853
2014031300100168,8895.0,49.2692242494327
2014032100100021,10368.0,11.810995978535498
2014032200100292,8340.0,11.561310279823696
2014032400100242,8430.0,51.407319236948375
2014033100100039,71666.0,35.75286800140121
2014041100100569,8165.0,17.84170552363595
2014050500100222,6122.0,15.036226566977364
2014052100100418,9658.0,17.628314526759322
2014060900100579,23040.0,98.81783684858755
2014061400100279,8676.0,41.12640557924764
2014070100100102,10148.0,84.18538976972242
2014080500100354,8903.0,25.825344804776556
2014080900100080,9103.0,8.26565689077421
2014081300100553,67359.0,16.56726291244414
2014082300100422,6446.0,4.447071498580641
2014092600100711,20513.0,77.86688571878047
2014102200100574,6282.0,59.430851884489755
2014102700100338,73941.0,13.860432295743443
2014111300100348,7240.0,12.421097548875181
2014121500100046,6480.0,19.458113210189495
2014122400100094,7067.0,10.033524341891846
2015010800100045,15257.0,16.32138436536707
2015020800100352,9443.0,20.333069745525087
2015022800100163,9650.0,8.498656874190106
2015030300100332,23040.0,34.33865767260572
2015031600100331,9824.0,16.72731998186226
2015031800100669,9660.0,33.94129158313847
2015032300100193,8021.0,23.629936549936755
2015032700100069,10359.0,6.290999253085182
2015040700100352,6680.0,11.498103310682488
2015042000100171,6446.0,12.04437099185148
2015051000100315,9878.0,16.717214128324912
2015051000100387,15409.0,12.04487597830054
2015051200100127,9820.0,41.10699714626673
2015051800100652,8721.0,81.0808701984903
2015052000100394,164571.0,45.05351791862478
2015060300100289,6794.0,19.696694637557787
2015060500100184,9633.0,3.841454552901651
2015071700100158,9494.0,33.10835864359034
2015072900100001,6068.0,37.350163335809334
2015082200100082,6286.0,27.6908503851582
2015082200100496,10369.0,4.669493968851614
2015090900100482,9665.0,27.455436853937588
2015091000100144,8734.0,33.33582675732461
2015092300100514,119023.0,28.351526379517583
2015092400100512,150723.0,24.967837370983524
2015102300100717,167173.0,24.61273795975002
2015102600100274,8378.0,45.72487955807476
2015111100100319,6888.0,28.79084919790988
2015121600100217,137.0,16.770448125562858
2015122600100120,9494.0,56.67096920898501
2015123000100451,8132.0,13.063369011207124
2016012500100257,127536.0,12.9893774052651
2016021000100059,8369.0,21.203697896603693
2016031000100107,5647.0,52.700427026286704
2016031000100218,7320.0,11.306898116383698
2016031400100156,74238.0,2.892019275857096
2016041600100221,6022.0,13.348758003311431
2016050600100146,165598.0,14.897909330027202
2016060200100475,7364.0,19.698158175187302
2016062300100201,72235.0,19.506111792096196
2016082200100414,8371.0,9.252076424548425
2016082400100608,23040.0,61.12536950727376
2016090500100159,9663.0,9.623157471210643
2016100800100204,6155.0,78.36903140735515
2016101100100072,6122.0,37.33200529146133
2016102000100539,8339.0,16.78905836718039
2016112400100356,8669.0,10.769031137949126
2016120300100031,23041.0,34.27126545562235
2016120900100070,7103.0,41.144511809850364
2016121900100435,57739.0,52.91397646689007
2016122000100065,5781.0,32.25902038265284
2016122100100314,9628.0,45.593675961753775
2017021100100253,9633.0,9.293132835283764
2017022100100426,8581.0,72.27954541468263
2017030600100444,123602.0,54.45569697126979
2017031400100325,15199.0,3.692103711371722
2017033000100071,164569.0,66.59165005569321
2017041100100396,164569.0,22.010812101423596
2017042200100126,5823.0,18.93113112992962
2017042400100360,5959.0,68.88802574316261
2017052400100382,7490.0,93.61106727611698
2017061600100298,9098.0,57.96155754708089
2017072200100021,9115.0,9.97151818743477
2017100500100283,21874.0,32.98842213722822
2017101500100145,14921.0,55.39679324681786
2017110200100462,20513.0,16.10676684650749
2017112000100245,8902.0,14.250347005373193
2017112600100340,9628.0,77.89656952034335
2017112800100471,6068.0,50.19488238454774
2017121100100217,10383.0,53.05347106253813
2017121200100495,22106.0,62.696071146155845
2018012200100038,6137.0,29.37771073216426
2018012900100492,14954.0,4.547050064334256
2018020900100059,8431.0,25.216770122172623
2018022200100225,6511.0,62.92879105991427
2018022800100123,10383.0,59.8701009736236
2018030700100194,7002.0,22.77251297294415
2018042600100037,9444.0,5.336444868769179
2018053100100654,8577.0,8.01410408326085
2018060500100424,9628.0,43.182106787958155
2018060700100534,6512.0,25.167995909436147
2018061600100148,122781.0,10.28228291379741
2018062700100095,8865.0,16.563985574558043
2018062800100001,23040.0,92.08986642938031
2018070200100464,9105.0,14.906632687909985
2018080600100132,122543.0,44.46823758800915
2018090300100081,137963.0,67.51236633202028
2018091700100600,10358.0,26.078334736454394
2018091900100239,9663.0,28.383410408831175
2018110500100501,15151.0,4.097118456649659
2018112900100452,23040.0,89.58293366450492
2018120800100348,5759.0,18.149030076826428
2019011500100050,10266.0,57.53334202905385
2019011800100628,15197.0,32.06425997805671
2019012600100347,8052.0,11.14680982774218
2019013000100528,8066.0,21.19028047031388
2019031100100151,6794.0,72.40052012685294
2019031100100585,137963.0,42.38553046959822
2019052300100055,6312.0,25.128756299892036
2019060700100235,6735.0,10.865506210826373
2019071000100584,24603.0,8.433310840395585
2019083100100180,71666.0,66.2551632342459
2019090700100277,9494.0,56.42347339493639
2019091100100101,125895.0,9.49945847666856
2019100600100258,7018.0,18.62890302266164
2019102400100695,9115.0,74.17524293108895
2019110100100202,125994.0,19.727104728520363
2019110200100300,6213.0,19.679771974236644
2019110200100460,9494.0,57.94096564691286
2019111500100378,151.0,58.80133749380512
2019120600100579,6645.0,39.20690481416873
2019121300100075,5957.0,1.1932992641501197
2020010500100016,7067.0,36.83672820820185
2020010800100338,125905.0,10.358663401194098
2020012000100133,10383.0,54.95396906177336
2020012000100209,5916.0,30.870829732881138
2020020100100075,72235.0,39.267571011039884
2020020500100458,8459.0,14.526221627250356
2020020900100370,6275.0,92.25221658186312
2020041400100076,67359.0,14.231394153517128
2020043000100536,9098.0,62.972083369674536
2020050600100034,8614.0,4.770076742534298
2020050600100431,73941.0,2.0804398596732874
2020052300100255,8902.0,13.226855445662208
2020052800100168,8614.0,5.79375871955511
2020060500100273,5647.0,53.107002398393476
2020080700100271,7012.0,8.179673687919967
2020082200100001,7008.0,42.49946626637201
