crosswalk_id,original_rank,real_lon,real_lat,current_sumo_lon,current_sumo_lat,generated_lon,generated_lat,mapping_distance_m,failure_category,nearest_tls_id,nearest_tls_distance_m,nearby_node_id,nearby_node_distance_m,candidate_edge_id,candidate_edge_distance_m,candidate_edge_function,candidate_edge_from_node,candidate_edge_to_node,candidate_edge_angle,candidate_rank,suggested_pair_rank,note
NODE_21869,21,126.98024816582196,37.55973979809862,126.98195966481094,37.56049778663976,,,172.809,LOCATION_TOO_FAR,11203052960,158.518,9355249244,1073.26,178441449#3,17.931,normal,9355249244,9355249195,24.88,3,,real-point neighborhood; top2 usually pair seed; strategy=HOLD
NODE_21869,21,126.98024816582196,37.55973979809862,126.98195966481094,37.56049778663976,,,172.809,LOCATION_TOO_FAR,11203052960,158.518,6036160339,817.42,640794429#1,19.668,normal,6036160339,9355249241,212.53,4,,real-point neighborhood; top2 usually pair seed; strategy=HOLD
NODE_21869,21,126.98024816582196,37.55973979809862,126.98195966481094,37.56049778663976,,,172.809,LOCATION_TOO_FAR,11203052960,158.518,7300992880,49.597,921117704#0,28.155,normal,7300992880,7301015588,20.45,5,,real-point neighborhood; top2 usually pair seed; strategy=HOLD
NODE_21869,21,126.98024816582196,37.55973979809862,126.98195966481094,37.56049778663976,,,172.809,LOCATION_TOO_FAR,11203052960,158.518,9357585533,42.593,913406478,29.009,normal,3053674659,9357585533,258.45,6,,real-point neighborhood; top2 usually pair seed; strategy=HOLD
NODE_21869,21,126.98024816582196,37.55973979809862,126.98195966481094,37.56049778663976,,,172.809,LOCATION_TOO_FAR,11203052960,158.518,8484958062,30.819,218915135#3,30.684,normal,218915135#3-AddedOnRampNode,8484958062,199.64,7,,real-point neighborhood; top2 usually pair seed; strategy=HOLD
NODE_21869,21,126.98024816582196,37.55973979809862,126.98195966481094,37.56049778663976,,,172.809,LOCATION_TOO_FAR,11203052960,158.518,218915135#3-AddedOnRampNode,38.734,218915135#3-AddedOnRampEdge,37.75,normal,13459547978,218915135#3-AddedOnRampNode,212.44,8,,real-point neighborhood; top2 usually pair seed; strategy=HOLD
NODE_6425,22,126.980952454655,37.55478197888991,126.98209808402038,37.55225964125623,,,298.1,MANUAL_REVIEW_NEEDED,7265413652,66.57,10253014031,3.982,37399713#3,0.992,normal,10253014059,10253014031,35.74,1,1,real-point neighborhood; top2 usually pair seed; strategy=EXISTING_CROSSING_REMAP
NODE_6425,22,126.980952454655,37.55478197888991,126.98209808402038,37.55225964125623,,,298.1,MANUAL_REVIEW_NEEDED,7265413652,66.57,10253014031,3.982,1120976138#1,3.542,normal,10253014031,10253014030,277.76,2,1,real-point neighborhood; top2 usually pair seed; strategy=EXISTING_CROSSING_REMAP
NODE_6425,22,126.980952454655,37.55478197888991,126.98209808402038,37.55225964125623,,,298.1,MANUAL_REVIEW_NEEDED,7265413652,66.57,10253014030,5.189,1120976139#3,3.715,normal,2457731044,10253014030,20.52,3,,real-point neighborhood; top2 usually pair seed; strategy=EXISTING_CROSSING_REMAP
NODE_6425,22,126.980952454655,37.55478197888991,126.98209808402038,37.55225964125623,,,298.1,MANUAL_REVIEW_NEEDED,7265413652,66.57,10253014031,3.982,244399271#1,6.004,normal,10253014031,436830990,14.99,4,,real-point neighborhood; top2 usually pair seed; strategy=EXISTING_CROSSING_REMAP
