canonical_network_version,crosswalk_id,crossing_edge,tls_id,ped_link_indices,from_edge,to_edge,vehicle_conflict_edges,approach_lanes,match_distance_m,path_uses_crossing,path_uses_walkingarea,tlLogic_exists_in_net_xml,exists_in_connection_tl,is_netconvert_ghost_tls,registry_status,implementation_status,c_subtype,recovery_status,recovery_source,network_net_sha256,netconvert_options_sha256,sumo_version,netconvert_version,validated_at,validated_by,crossing_lon,crossing_lat,matched_radius_m,distance_bucket,mapping_confidence,control_mode,runnable_for_signal_extension,runnable_for_unsignalized_sim,requires_patch,interpretation_note,original_failure_reason,override_reason,notes,installation_assumption,ped_link_indices_repair_status,c1_final_status,c1_patch_result,c1_patch_survived,c1_node_id,c1_crossing_edges,representative_crosswalk_id,duplicate_crossing_key,original_csv_lon,original_csv_lat,target_x,target_y
junggu_expanded_b1000_netc4fba70ca4f7_optbef4f82e35ec,7405,:1945254735_c2,1945254735,10,420334155#3,-773066536#3,420334155#3|773066536#3|-420334155#3|773066536#4,420334155#3_1|420334155#3_2|773066536#3_1|773066536#3_2|773066536#3_3,174.00180872290574,True,True,True,True,False,patched_unsignalized,ready_for_simulation,C1_distance_match_failed,,,c4fba70ca4f7a6e074a414f44ab12e1af55e69b03ae1ec5e9efc3d40f5f8119d,bef4f82e35ec6fa66e34949a5956a7cba8fb2aaf8a142dcf17ef0728fe469023,Eclipse SUMO sumo 1.26.0,Eclipse SUMO netconvert 1.26.0,2026-05-11T14:18:23,junlee,127.00441946309188,37.566695826548624,,,,signalized,True,True,False,,distance_exceeded,,distance_exceeded,,normalized_from_net_xml,patched_unsignalized_v2,patched_unsignalized,True,8486077456,183272383 913525284,,8486077456|183272383|913525284,127.0024418,37.56677888,5270.833316004369,4580.628353065811
junggu_expanded_b1000_netc4fba70ca4f7_optbef4f82e35ec,7406,:1945254735_c2,1945254735,10,420334155#3,-773066536#3,420334155#3|773066536#3|-420334155#3|773066536#4,420334155#3_1|420334155#3_2|773066536#3_1|773066536#3_2|773066536#3_3,203.07146172537904,True,True,True,True,False,patched_unsignalized,ready_for_simulation,C1_distance_match_failed,,,c4fba70ca4f7a6e074a414f44ab12e1af55e69b03ae1ec5e9efc3d40f5f8119d,bef4f82e35ec6fa66e34949a5956a7cba8fb2aaf8a142dcf17ef0728fe469023,Eclipse SUMO sumo 1.26.0,Eclipse SUMO netconvert 1.26.0,2026-05-11T14:18:23,junlee,127.00441946309188,37.566695826548624,,,,signalized,True,True,False,,distance_exceeded,,distance_exceeded,,normalized_from_net_xml,patched_unsignalized_v3,patched_unsignalized,True,1945254788,-268783056#0 218923182,7406.0,1945254788|-268783056#0|218923182,127.0021428,37.56697799,5244.893965306168,4603.283499340527
junggu_expanded_b1000_netc4fba70ca4f7_optbef4f82e35ec,7407,:1945254735_c2,1945254735,10,420334155#3,-773066536#3,420334155#3|773066536#3|-420334155#3|773066536#4,420334155#3_1|420334155#3_2|773066536#3_1|773066536#3_2|773066536#3_3,179.5824506835881,True,True,True,True,False,patched_unsignalized,ready_for_simulation,C1_distance_match_failed,,,c4fba70ca4f7a6e074a414f44ab12e1af55e69b03ae1ec5e9efc3d40f5f8119d,bef4f82e35ec6fa66e34949a5956a7cba8fb2aaf8a142dcf17ef0728fe469023,Eclipse SUMO sumo 1.26.0,Eclipse SUMO netconvert 1.26.0,2026-05-11T14:18:23,junlee,127.00441946309188,37.566695826548624,,,,signalized,True,True,False,,distance_exceeded,,distance_exceeded,,normalized_from_net_xml,patched_unsignalized_v3,patched_unsignalized,True,8488864396,-268783056#1 913835755#1,7407.0,8488864396|-268783056#1|913835755#1,127.0024159,37.56698714,5269.037103961222,4603.785813164432
junggu_expanded_b1000_netc4fba70ca4f7_optbef4f82e35ec,7408,:1945254735_c2,1945254735,10,420334155#3,-773066536#3,420334155#3|773066536#3|-420334155#3|773066536#4,420334155#3_1|420334155#3_2|773066536#3_1|773066536#3_2|773066536#3_3,166.6159701593811,True,True,True,True,False,patched_unsignalized,ready_for_simulation,C1_distance_match_failed,,,c4fba70ca4f7a6e074a414f44ab12e1af55e69b03ae1ec5e9efc3d40f5f8119d,bef4f82e35ec6fa66e34949a5956a7cba8fb2aaf8a142dcf17ef0728fe469023,Eclipse SUMO sumo 1.26.0,Eclipse SUMO netconvert 1.26.0,2026-05-11T14:18:23,junlee,127.00441946309188,37.566695826548624,,,,signalized,True,True,False,,distance_exceeded,,distance_exceeded,,normalized_from_net_xml,patched_unsignalized_v2,patched_unsignalized,True,8486077456,1455524949#0 913525284,,8486077456|1455524949#0|913525284,127.0025194,37.56667818,5277.449752714194,4569.308797461446
junggu_expanded_b1000_netc4fba70ca4f7_optbef4f82e35ec,7409,:1945254735_c2,1945254735,10,420334155#3,-773066536#3,420334155#3|773066536#3|-420334155#3|773066536#4,420334155#3_1|420334155#3_2|773066536#3_1|773066536#3_2|773066536#3_3,200.15680811290085,True,True,True,True,False,patched_unsignalized,ready_for_simulation,C1_distance_match_failed,,,c4fba70ca4f7a6e074a414f44ab12e1af55e69b03ae1ec5e9efc3d40f5f8119d,bef4f82e35ec6fa66e34949a5956a7cba8fb2aaf8a142dcf17ef0728fe469023,Eclipse SUMO sumo 1.26.0,Eclipse SUMO netconvert 1.26.0,2026-05-11T14:18:23,junlee,127.00441946309188,37.566695826548624,,,,signalized,True,True,False,,distance_exceeded,,distance_exceeded,,normalized_from_net_xml,patched_unsignalized_v3,patched_unsignalized,True,436867779,1455524945 1455524948,7409.0,436867779|1455524945|1455524948,127.0021428,37.56675142,5244.359277427604,4578.142981651705
junggu_expanded_b1000_netc4fba70ca4f7_optbef4f82e35ec,7410,:1945254735_c2,1945254735,10,420334155#3,-773066536#3,420334155#3|773066536#3|-420334155#3|773066536#4,420334155#3_1|420334155#3_2|773066536#3_1|773066536#3_2|773066536#3_3,210.54866046280517,True,True,True,True,False,patched_unsignalized,ready_for_simulation,C1_distance_match_failed,,,c4fba70ca4f7a6e074a414f44ab12e1af55e69b03ae1ec5e9efc3d40f5f8119d,bef4f82e35ec6fa66e34949a5956a7cba8fb2aaf8a142dcf17ef0728fe469023,Eclipse SUMO sumo 1.26.0,Eclipse SUMO netconvert 1.26.0,2026-05-11T14:18:23,junlee,127.00441946309188,37.566695826548624,,,,signalized,True,True,False,,distance_exceeded,,distance_exceeded,,normalized_from_net_xml,patched_unsignalized_v3,patched_unsignalized,True,8486077459,1455524946 913836077,7410.0,8486077459|1455524946|913836077,127.002022,37.56667362,5233.5059762936435,4569.737116012257
junggu_expanded_b1000_netc4fba70ca4f7_optbef4f82e35ec,7411,:1945254735_c2,1945254735,10,420334155#3,-773066536#3,420334155#3|773066536#3|-420334155#3|773066536#4,420334155#3_1|420334155#3_2|773066536#3_1|773066536#3_2|773066536#3_3,216.8500048939977,True,True,True,True,False,patched_unsignalized,ready_for_simulation,C1_distance_match_failed,,,c4fba70ca4f7a6e074a414f44ab12e1af55e69b03ae1ec5e9efc3d40f5f8119d,bef4f82e35ec6fa66e34949a5956a7cba8fb2aaf8a142dcf17ef0728fe469023,Eclipse SUMO sumo 1.26.0,Eclipse SUMO netconvert 1.26.0,2026-05-11T14:18:23,junlee,127.00441946309188,37.566695826548624,,,,signalized,True,True,False,,distance_exceeded,,distance_exceeded,,normalized_from_net_xml,patched_unsignalized_v3,patched_unsignalized,True,8488864396,-1455524950#0 1455524950#0,7411.0,8488864396|-1455524950#0|1455524950#0,127.0020048,37.56706267,5232.904972442484,4612.938950287644
junggu_expanded_b1000_netc4fba70ca4f7_optbef4f82e35ec,74154,:1945254658_c1,1945254658,0,-773066536#1,348657481#0,773066536#0|348657481#0|773066536#1,773066536#0_1|773066536#0_2|773066536#0_3,64.1642970338651,True,True,False,False,False,distance_mapped,ready_for_simulation,C1_distance_match_failed,distance_remapped,registry_distance_remap,c4fba70ca4f7a6e074a414f44ab12e1af55e69b03ae1ec5e9efc3d40f5f8119d,bef4f82e35ec6fa66e34949a5956a7cba8fb2aaf8a142dcf17ef0728fe469023,Eclipse SUMO sumo 1.26.0,Eclipse SUMO netconvert 1.26.0,2026-05-11T14:18:23,junlee,127.00685315265254,37.56631302334509,65.0,60_65,medium,signalized,True,True,False,distance-remapped unsignalized proxy crosswalk,distance_exceeded,distance_radius_remap,distance_exceeded,synthetic_pedestrian_signal,normalized_from_net_xml,,,,,,,,,,,
junggu_expanded_b1000_netc4fba70ca4f7_optbef4f82e35ec,7419,:4202879197_c0,4202879197,20,-117784411#0,420348555#0,-117784411#0|-395564622#1|-420348555#0|381453800|395564622#0|-381453800|-395564622#0|117784411#0|395564622#1|420348555#0,-117784411#0_1|-395564622#1_1|-420348555#0_1|381453800_1|395564622#0_1,195.6617738202613,True,True,True,True,False,patched_unsignalized,ready_for_simulation,C1_distance_match_failed,,,c4fba70ca4f7a6e074a414f44ab12e1af55e69b03ae1ec5e9efc3d40f5f8119d,bef4f82e35ec6fa66e34949a5956a7cba8fb2aaf8a142dcf17ef0728fe469023,Eclipse SUMO sumo 1.26.0,Eclipse SUMO netconvert 1.26.0,2026-05-11T14:18:23,junlee,126.9989779548207,37.56545531323163,,,,signalized,True,True,False,,distance_exceeded,,distance_exceeded,,normalized_from_net_xml,patched_unsignalized_v3,patched_unsignalized,True,9038899638,1455524951#3 1456115790#0,7419.0,9038899638|1455524951#3|1456115790#0,127.0002711,37.56689791,5079.386938029318,4597.915343561675
junggu_expanded_b1000_netc4fba70ca4f7_optbef4f82e35ec,74237,:2323328015_c0,2323328015,7,1455546617#0,1455546617#1,1455546617#0|415967618#8|-415967618#8|1455546617#1,1455546617#0_1|1455546617#0_2|1455546617#0_3|1455546617#0_4|415967618#8_1,183.9217335218023,True,True,True,True,False,represented_by_patched_crossing,ready_for_simulation,C1_distance_match_failed,,,c4fba70ca4f7a6e074a414f44ab12e1af55e69b03ae1ec5e9efc3d40f5f8119d,bef4f82e35ec6fa66e34949a5956a7cba8fb2aaf8a142dcf17ef0728fe469023,Eclipse SUMO sumo 1.26.0,Eclipse SUMO netconvert 1.26.0,2026-05-11T14:18:23,junlee,127.00636595775096,37.571228806781605,,,,signalized,True,True,False,,distance_exceeded,,distance_exceeded,,normalized_from_net_xml,represented_by_patched_crossing,duplicate_generated_crossing,False,6146661419,203501044 656122999,74238.0,6146661419|203501044|656122999,127.0067675,37.56960271,5659.550281543401,4885.848454426508
