canonical_network_version,crosswalk_id,crossing_edge,tls_id,ped_link_indices,from_edge,to_edge,vehicle_conflict_edges,approach_lanes,match_distance_m,path_uses_crossing,path_uses_walkingarea,tlLogic_exists_in_net_xml,exists_in_connection_tl,is_netconvert_ghost_tls,registry_status,implementation_status,c_subtype,recovery_status,recovery_source,network_net_sha256,netconvert_options_sha256,sumo_version,netconvert_version,validated_at,validated_by,crossing_lon,crossing_lat,matched_radius_m,distance_bucket,mapping_confidence,control_mode,runnable_for_signal_extension,runnable_for_unsignalized_sim,requires_patch,interpretation_note,original_failure_reason,override_reason,notes
junggu_expanded_b1000_net5d75811ffba3_optbef4f82e35ec,7828,:1327210689_c0,1327210689,5,-913006754#0,913006754#0,-913006754#0|913006753|-913006753|913006754#0,-913006754#0_1|-913006754#0_2|-913006754#0_3|913006753_1|913006753_2,35.72691626961625,True,True,True,True,False,A,ready_for_simulation,C11_manual_netedit_required,,,5d75811ffba332dfb8042885892ef8d4fc4549ea3572f2dc687f092821a4388f,bef4f82e35ec6fa66e34949a5956a7cba8fb2aaf8a142dcf17ef0728fe469023,Eclipse SUMO sumo 1.26.0,Eclipse SUMO netconvert 1.26.0,2026-05-09T17:18:01,junlee,127.00524666232552,37.5590611504295,,,verified,signalized,True,True,False,,,,
junggu_expanded_b1000_net5d75811ffba3_optbef4f82e35ec,7829,:1327210689_c0,1327210689,5,-913006754#0,913006754#0,-913006754#0|913006753|-913006753|913006754#0,-913006754#0_1|-913006754#0_2|-913006754#0_3|913006753_1|913006753_2,30.23127566927581,True,True,True,True,False,A,ready_for_simulation,C11_manual_netedit_required,,,5d75811ffba332dfb8042885892ef8d4fc4549ea3572f2dc687f092821a4388f,bef4f82e35ec6fa66e34949a5956a7cba8fb2aaf8a142dcf17ef0728fe469023,Eclipse SUMO sumo 1.26.0,Eclipse SUMO netconvert 1.26.0,2026-05-09T17:18:01,junlee,127.00524666232552,37.5590611504295,,,verified,signalized,True,True,False,,,,
junggu_expanded_b1000_net5d75811ffba3_optbef4f82e35ec,7853,:1327210689_c0,1327210689,5,-913006754#0,913006754#0,-913006754#0|913006753|-913006753|913006754#0,-913006754#0_1|-913006754#0_2|-913006754#0_3|913006753_1|913006753_2,35.721537861515365,True,True,True,True,False,A,ready_for_simulation,C11_manual_netedit_required,,,5d75811ffba332dfb8042885892ef8d4fc4549ea3572f2dc687f092821a4388f,bef4f82e35ec6fa66e34949a5956a7cba8fb2aaf8a142dcf17ef0728fe469023,Eclipse SUMO sumo 1.26.0,Eclipse SUMO netconvert 1.26.0,2026-05-09T17:18:01,junlee,127.00524666232552,37.5590611504295,,,verified,signalized,True,True,False,,,,
junggu_expanded_b1000_net5d75811ffba3_optbef4f82e35ec,7854,:1327210689_c0,1327210689,5,-913006754#0,913006754#0,-913006754#0|913006753|-913006753|913006754#0,-913006754#0_1|-913006754#0_2|-913006754#0_3|913006753_1|913006753_2,74.84288974495898,True,True,True,True,False,recovered,auto_recovered_distance_rematch,C11_manual_netedit_required,auto_recovered_distance_rematch,recovered_simulation_target_list.csv,5d75811ffba332dfb8042885892ef8d4fc4549ea3572f2dc687f092821a4388f,bef4f82e35ec6fa66e34949a5956a7cba8fb2aaf8a142dcf17ef0728fe469023,Eclipse SUMO sumo 1.26.0,Eclipse SUMO netconvert 1.26.0,2026-05-09T17:18:01,junlee,127.00524976775176,37.55911874555966,75.0,,verified,signalized,True,True,False,,distance_exceeded,verified_recovered_candidate,distance_exceeded
junggu_expanded_b1000_net5d75811ffba3_optbef4f82e35ec,7855,:1327210689_c0,1327210689,5,-913006754#0,913006754#0,-913006754#0|913006753|-913006753|913006754#0,-913006754#0_1|-913006754#0_2|-913006754#0_3|913006753_1|913006753_2,33.82077002989622,True,True,True,True,False,A,ready_for_simulation,C11_manual_netedit_required,,,5d75811ffba332dfb8042885892ef8d4fc4549ea3572f2dc687f092821a4388f,bef4f82e35ec6fa66e34949a5956a7cba8fb2aaf8a142dcf17ef0728fe469023,Eclipse SUMO sumo 1.26.0,Eclipse SUMO netconvert 1.26.0,2026-05-09T17:18:01,junlee,127.00524666232552,37.5590611504295,,,verified,signalized,True,True,False,,,,
junggu_expanded_b1000_net5d75811ffba3_optbef4f82e35ec,7856,:1327210689_c0,1327210689,5,-913006754#0,913006754#0,-913006754#0|913006753|-913006753|913006754#0,-913006754#0_1|-913006754#0_2|-913006754#0_3|913006753_1|913006753_2,38.52717770268384,True,True,True,True,False,A,ready_for_simulation,C11_manual_netedit_required,,,5d75811ffba332dfb8042885892ef8d4fc4549ea3572f2dc687f092821a4388f,bef4f82e35ec6fa66e34949a5956a7cba8fb2aaf8a142dcf17ef0728fe469023,Eclipse SUMO sumo 1.26.0,Eclipse SUMO netconvert 1.26.0,2026-05-09T17:18:01,junlee,127.00524666232552,37.5590611504295,,,verified,signalized,True,True,False,,,,
junggu_expanded_b1000_net5d75811ffba3_optbef4f82e35ec,7862,:1327210689_c0,1327210689,5,-913006754#0,913006754#0,-913006754#0|913006753|-913006753|913006754#0,-913006754#0_1|-913006754#0_2|-913006754#0_3|913006753_1|913006753_2,87.51948391934746,True,True,True,True,False,recovered,auto_recovered_distance_rematch,C11_manual_netedit_required,auto_recovered_distance_rematch,recovered_simulation_target_list.csv,5d75811ffba332dfb8042885892ef8d4fc4549ea3572f2dc687f092821a4388f,bef4f82e35ec6fa66e34949a5956a7cba8fb2aaf8a142dcf17ef0728fe469023,Eclipse SUMO sumo 1.26.0,Eclipse SUMO netconvert 1.26.0,2026-05-09T17:18:01,junlee,127.00524976775176,37.55911874555966,100.0,,verified,signalized,True,True,False,,distance_exceeded,verified_recovered_candidate,distance_exceeded
junggu_expanded_b1000_net5d75811ffba3_optbef4f82e35ec,7863,:1327210689_c0,1327210689,5,-913006754#0,913006754#0,-913006754#0|913006753|-913006753|913006754#0,-913006754#0_1|-913006754#0_2|-913006754#0_3|913006753_1|913006753_2,72.74498492419194,True,True,True,True,False,recovered,auto_recovered_distance_rematch,C11_manual_netedit_required,auto_recovered_distance_rematch,recovered_simulation_target_list.csv,5d75811ffba332dfb8042885892ef8d4fc4549ea3572f2dc687f092821a4388f,bef4f82e35ec6fa66e34949a5956a7cba8fb2aaf8a142dcf17ef0728fe469023,Eclipse SUMO sumo 1.26.0,Eclipse SUMO netconvert 1.26.0,2026-05-09T17:18:01,junlee,127.00524976775176,37.55911874555966,75.0,,verified,signalized,True,True,False,,distance_exceeded,verified_recovered_candidate,distance_exceeded
junggu_expanded_b1000_net5d75811ffba3_optbef4f82e35ec,8021,:12857535999_c0,12857535999,2,1389001689#0,218910324#10,-218910324#10|218910324#9|-218910324#9|218910324#10,-218910324#10_1|218910324#9_1,5.393753246094854,True,True,True,True,False,A,ready_for_simulation,C11_manual_netedit_required,,,5d75811ffba332dfb8042885892ef8d4fc4549ea3572f2dc687f092821a4388f,bef4f82e35ec6fa66e34949a5956a7cba8fb2aaf8a142dcf17ef0728fe469023,Eclipse SUMO sumo 1.26.0,Eclipse SUMO netconvert 1.26.0,2026-05-09T17:18:01,junlee,127.00670566185693,37.547788054739314,,,verified,signalized,True,True,False,,,,
junggu_expanded_b1000_net5d75811ffba3_optbef4f82e35ec,8022,:12857535999_c0,12857535999,2,1389001689#0,218910324#10,-218910324#10|218910324#9|-218910324#9|218910324#10,-218910324#10_1|218910324#9_1,10.714708650187172,True,True,True,True,False,A,ready_for_simulation,C11_manual_netedit_required,,,5d75811ffba332dfb8042885892ef8d4fc4549ea3572f2dc687f092821a4388f,bef4f82e35ec6fa66e34949a5956a7cba8fb2aaf8a142dcf17ef0728fe469023,Eclipse SUMO sumo 1.26.0,Eclipse SUMO netconvert 1.26.0,2026-05-09T17:18:01,junlee,127.00670566185693,37.547788054739314,,,verified,signalized,True,True,False,,,,
junggu_expanded_b1000_net5d75811ffba3_optbef4f82e35ec,8024,,,,,,,,,False,False,False,False,False,route_patch_required,route_patch_required,C6_ped_route_failed,,,5d75811ffba332dfb8042885892ef8d4fc4549ea3572f2dc687f092821a4388f,bef4f82e35ec6fa66e34949a5956a7cba8fb2aaf8a142dcf17ef0728fe469023,Eclipse SUMO sumo 1.26.0,Eclipse SUMO netconvert 1.26.0,2026-05-09T17:18:01,junlee,,,,,blocked,patch_required,False,False,True,,:12857535989_c0 주변 차량 edge를 찾지 못했습니다.,,:12857535989_c0 주변 차량 edge를 찾지 못했습니다.
junggu_expanded_b1000_net5d75811ffba3_optbef4f82e35ec,8026,,,,,,,,,False,False,False,False,False,route_patch_required,route_patch_required,C6_ped_route_failed,,,5d75811ffba332dfb8042885892ef8d4fc4549ea3572f2dc687f092821a4388f,bef4f82e35ec6fa66e34949a5956a7cba8fb2aaf8a142dcf17ef0728fe469023,Eclipse SUMO sumo 1.26.0,Eclipse SUMO netconvert 1.26.0,2026-05-09T17:18:01,junlee,,,,,blocked,patch_required,False,False,True,,:12857535989_c0 주변 차량 edge를 찾지 못했습니다.,,:12857535989_c0 주변 차량 edge를 찾지 못했습니다.
junggu_expanded_b1000_net5d75811ffba3_optbef4f82e35ec,8028,,,,,,,,,False,False,False,False,False,route_patch_required,route_patch_required,C6_ped_route_failed,,,5d75811ffba332dfb8042885892ef8d4fc4549ea3572f2dc687f092821a4388f,bef4f82e35ec6fa66e34949a5956a7cba8fb2aaf8a142dcf17ef0728fe469023,Eclipse SUMO sumo 1.26.0,Eclipse SUMO netconvert 1.26.0,2026-05-09T17:18:01,junlee,,,,,blocked,patch_required,False,False,True,,:12857535989_c0 주변 차량 edge를 찾지 못했습니다.,,:12857535989_c0 주변 차량 edge를 찾지 못했습니다.
junggu_expanded_b1000_net5d75811ffba3_optbef4f82e35ec,8029,,,,,,,,,False,False,False,False,False,route_patch_required,route_patch_required,C6_ped_route_failed,,,5d75811ffba332dfb8042885892ef8d4fc4549ea3572f2dc687f092821a4388f,bef4f82e35ec6fa66e34949a5956a7cba8fb2aaf8a142dcf17ef0728fe469023,Eclipse SUMO sumo 1.26.0,Eclipse SUMO netconvert 1.26.0,2026-05-09T17:18:01,junlee,,,,,blocked,patch_required,False,False,True,,:12857535989_c0 주변 차량 edge를 찾지 못했습니다.,,:12857535989_c0 주변 차량 edge를 찾지 못했습니다.
junggu_expanded_b1000_net5d75811ffba3_optbef4f82e35ec,8030,,,,,,,,,False,False,False,False,False,route_patch_required,route_patch_required,C6_ped_route_failed,,,5d75811ffba332dfb8042885892ef8d4fc4549ea3572f2dc687f092821a4388f,bef4f82e35ec6fa66e34949a5956a7cba8fb2aaf8a142dcf17ef0728fe469023,Eclipse SUMO sumo 1.26.0,Eclipse SUMO netconvert 1.26.0,2026-05-09T17:18:01,junlee,,,,,blocked,patch_required,False,False,True,,:12857535989_c0 주변 차량 edge를 찾지 못했습니다.,,:12857535989_c0 주변 차량 edge를 찾지 못했습니다.
