crosswalk_id,crossing_edge_id,candidate_from_edge,candidate_to_edge,selected,valid,contains_crossing_edge,generated_route_edges,reason
LINK_212169,:11449716078_c0,1233842659,-1233842659,True,True,True,1233842659|:11449716078_w0|:11449716078_c0|:11449716078_w1|-1233842659,crossing_walkarea_forward:ok
NODE_8452,:3846603653_c0,381458592#4,-381458592#4,True,True,True,381458592#4|:3846603653_w1|:3846603653_c0|:3846603653_w0|-381458592#4,crossing_walkarea_forward:ok
NODE_6082,:11449716078_c0,1233842659,-1233842659,True,True,True,1233842659|:11449716078_w0|:11449716078_c0|:11449716078_w1|-1233842659,crossing_walkarea_forward:ok
NODE_6123,:7300992884_c0,955312948,-955312948,True,True,True,955312948|:7300992884_w0|:7300992884_c0|:7300992884_w1|-955312948,crossing_walkarea_forward:ok
NODE_8426,:3849142980_c0,920025287#2,920025287#3,True,True,True,920025287#2|:3849142980_w1|:3849142980_c0|:3849142980_w0|920025287#3,crossing_walkarea_forward:ok
NODE_74388,:436883130_c0,1206220504#1,-516163750#1,True,True,True,1206220504#1|:436883130_w2|:436883130_c0|:436883130_w1|-516163750#1,crossing_walkarea_forward:ok
NODE_10273,:3846533030_c1,-381452118#0,381452118#0,True,True,True,-381452118#0|:3846533030_w0|:3846533030_c1|:3846533030_w1|381452118#0,crossing_walkarea_forward:ok
